31/08/2022	12:55 PM
Voltage (V),Current (mA)
-4.960	-0.667
-4.921	-0.498
-4.875	-0.368
-4.833	-0.288
-4.784	-0.225
-4.739	-0.182
-4.688	-0.145
-4.637	-0.117
-4.591	-0.097
-4.538	-0.080
-4.492	-0.067
-4.440	-0.056
-4.394	-0.048
-4.342	-0.040
-4.296	-0.034
-4.244	-0.029
-4.192	-0.024
-4.144	-0.021
-4.092	-0.017
-4.045	-0.015
-3.994	-0.013
-3.948	-0.011
-3.896	-0.009
-3.843	-0.008
-3.796	-0.006
-3.743	-0.005
-3.696	-0.005
-3.643	-0.004
-3.596	-0.003
-3.543	-0.003
-3.490	-0.002
-3.444	-0.002
-3.390	-0.002
-3.344	-0.001
-3.292	-0.001
-3.245	-0.001
-3.191	-0.000
-3.145	-0.000
-3.093	0.000
-3.040	0.000
-2.994	0.000
-2.941	0.001
-2.895	0.000
-2.842	0.000
-2.795	0.001
-2.742	0.000
-2.689	0.001
-2.643	0.001
-2.590	0.000
-2.543	0.001
-2.490	0.001
-2.443	0.001
-2.390	0.000
-2.343	0.000
-2.291	0.001
-2.238	0.001
-2.191	0.001
-2.138	0.001
-2.091	0.001
-2.039	0.001
-1.992	0.001
-1.938	0.001
-1.884	0.001
-1.838	0.001
-1.784	0.001
-1.738	0.000
-1.687	0.001
-1.640	0.001
-1.588	0.001
-1.535	0.001
-1.488	0.001
-1.435	0.001
-1.388	0.001
-1.336	0.001
-1.289	0.001
-1.236	0.000
-1.189	0.001
-1.136	0.001
-1.084	0.001
-1.038	0.001
-0.986	0.001
-0.940	0.001
-0.887	0.000
-0.841	0.000
-0.788	0.001
-0.737	0.001
-0.690	0.001
-0.637	0.001
-0.590	0.000
-0.550	0.001
-0.491	0.001
-0.451	0.001
-0.393	0.001
-0.352	0.000
-0.300	0.001
-0.249	0.000
-0.203	0.001
-0.151	0.000
-0.100	-0.000
-0.053	0.001
-0.001	0.000
