31/08/2022	12:51 PM
Voltage (V),Current (mA)
0.005	0.001
0.051	0.001
0.098	0.001
0.151	0.001
0.198	0.001
0.249	0.001
0.296	0.000
0.348	0.001
0.400	0.001
0.448	0.001
0.500	0.001
0.548	0.001
0.600	0.001
0.648	0.001
0.701	0.001
0.748	0.001
0.800	0.000
0.853	0.001
0.900	0.001
0.953	0.001
0.999	0.001
1.051	0.001
1.098	0.001
1.150	0.001
1.203	0.001
1.251	0.001
1.304	0.001
1.351	0.002
1.404	0.006
1.450	0.017
1.502	0.055
1.545	0.129
1.590	0.285
1.630	0.525
1.687	1.122
1.721	1.695
1.776	3.061
1.823	4.701
1.872	6.846
1.911	8.843
