waveform	[0]		[1]	
t0	31/08/2022  14:13:48.245143		31/08/2022  14:13:48.245144	
delta t	2.000000E-6		2.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
31/08/2022  14:13:48.245143	3.110014E-1	31/08/2022  14:13:48.245144	9.583981E-1
31/08/2022  14:13:48.245145	2.604462E-1	31/08/2022  14:13:48.245146	9.014027E-1
31/08/2022  14:13:48.245147	2.100520E-1	31/08/2022  14:13:48.245148	8.427973E-1
31/08/2022  14:13:48.245149	1.588527E-1	31/08/2022  14:13:48.245150	7.769467E-1
31/08/2022  14:13:48.245151	1.091024E-1	31/08/2022  14:13:48.245152	7.222054E-1
31/08/2022  14:13:48.245153	6.708039E-2	31/08/2022  14:13:48.245154	6.616679E-1
31/08/2022  14:13:48.245155	3.246452E-2	31/08/2022  14:13:48.245156	5.995204E-1
31/08/2022  14:13:48.245157	1.185600E-2	31/08/2022  14:13:48.245158	5.433301E-1
31/08/2022  14:13:48.245159	6.220856E-3	31/08/2022  14:13:48.245160	4.768355E-1
31/08/2022  14:13:48.245161	4.771819E-3	31/08/2022  14:13:48.245162	4.109849E-1
31/08/2022  14:13:48.245163	-8.633238E-4	31/08/2022  14:13:48.245164	3.496424E-1
31/08/2022  14:13:48.245165	-1.668344E-3	31/08/2022  14:13:48.245166	2.886219E-1
31/08/2022  14:13:48.245167	-3.922401E-3	31/08/2022  14:13:48.245168	2.304995E-1
31/08/2022  14:13:48.245169	-1.990352E-3	31/08/2022  14:13:48.245170	1.651318E-1
31/08/2022  14:13:48.245171	-6.015455E-3	31/08/2022  14:13:48.245172	1.000862E-1
31/08/2022  14:13:48.245173	-4.888426E-3	31/08/2022  14:13:48.245174	3.697263E-2
31/08/2022  14:13:48.245175	-5.532442E-3	31/08/2022  14:13:48.245176	-2.517494E-2
31/08/2022  14:13:48.245177	-4.405414E-3	31/08/2022  14:13:48.245178	-7.862831E-2
31/08/2022  14:13:48.245179	-6.498467E-3	31/08/2022  14:13:48.245180	-1.476991E-1
31/08/2022  14:13:48.245181	-8.108508E-3	31/08/2022  14:13:48.245182	-2.101687E-1
31/08/2022  14:13:48.245183	-9.879553E-3	31/08/2022  14:13:48.245184	-2.699013E-1
31/08/2022  14:13:48.245185	-7.786500E-3	31/08/2022  14:13:48.245186	-3.294729E-1
31/08/2022  14:13:48.245187	-7.464491E-3	31/08/2022  14:13:48.245188	-3.987048E-1
31/08/2022  14:13:48.245189	-1.004056E-2	31/08/2022  14:13:48.245190	-4.581154E-1
31/08/2022  14:13:48.245191	-1.068457E-2	31/08/2022  14:13:48.245192	-5.210682E-1
31/08/2022  14:13:48.245193	-1.181160E-2	31/08/2022  14:13:48.245194	-5.843429E-1
31/08/2022  14:13:48.245195	-1.116759E-2	31/08/2022  14:13:48.245196	-6.424656E-1
31/08/2022  14:13:48.245197	-9.557545E-3	31/08/2022  14:13:48.245198	-7.128247E-1
31/08/2022  14:13:48.245199	-1.358265E-2	31/08/2022  14:13:48.245200	-7.723964E-1
31/08/2022  14:13:48.245201	-1.519269E-2	31/08/2022  14:13:48.245202	-8.335783E-1
31/08/2022  14:13:48.245203	-1.487068E-2	31/08/2022  14:13:48.245204	-8.928281E-1
31/08/2022  14:13:48.245205	-1.390465E-2	31/08/2022  14:13:48.245206	-9.561031E-1
31/08/2022  14:13:48.245207	-1.406566E-2	31/08/2022  14:13:48.245208	-1.015836E+0
31/08/2022  14:13:48.245209	-1.197261E-2	31/08/2022  14:13:48.245210	-1.077823E+0
31/08/2022  14:13:48.245211	-1.406566E-2	31/08/2022  14:13:48.245212	-1.134980E+0
31/08/2022  14:13:48.245213	-1.487068E-2	31/08/2022  14:13:48.245214	-1.205017E+0
31/08/2022  14:13:48.245215	-1.583670E-2	31/08/2022  14:13:48.245216	-1.262979E+0
31/08/2022  14:13:48.245217	-1.567570E-2	31/08/2022  14:13:48.245218	-1.330602E+0
31/08/2022  14:13:48.245219	-1.744675E-2	31/08/2022  14:13:48.245220	-1.388725E+0
31/08/2022  14:13:48.245221	-1.776875E-2	31/08/2022  14:13:48.245222	-1.447975E+0
31/08/2022  14:13:48.245223	-1.680273E-2	31/08/2022  14:13:48.245224	-1.506259E+0
31/08/2022  14:13:48.245225	-1.776875E-2	31/08/2022  14:13:48.245226	-1.566958E+0
31/08/2022  14:13:48.245227	-1.712474E-2	31/08/2022  14:13:48.245228	-1.622344E+0
31/08/2022  14:13:48.245229	-1.809076E-2	31/08/2022  14:13:48.245230	-1.681273E+0
31/08/2022  14:13:48.245231	-1.841277E-2	31/08/2022  14:13:48.245232	-1.742455E+0
31/08/2022  14:13:48.245233	-2.082783E-2	31/08/2022  14:13:48.245234	-1.805248E+0
31/08/2022  14:13:48.245235	-2.114984E-2	31/08/2022  14:13:48.245236	-1.865786E+0
31/08/2022  14:13:48.245237	-1.953980E-2	31/08/2022  14:13:48.245238	-1.919079E+0
31/08/2022  14:13:48.245239	-1.986181E-2	31/08/2022  14:13:48.245240	-1.974466E+0
31/08/2022  14:13:48.245241	-2.082783E-2	31/08/2022  14:13:48.245242	-2.035004E+0
31/08/2022  14:13:48.245243	-2.227687E-2	31/08/2022  14:13:48.245244	-2.092001E+0
31/08/2022  14:13:48.245245	-2.147185E-2	31/08/2022  14:13:48.245246	-2.150125E+0
31/08/2022  14:13:48.245247	-2.340390E-2	31/08/2022  14:13:48.245248	-2.209697E+0
31/08/2022  14:13:48.245249	-2.420892E-2	31/08/2022  14:13:48.245250	-2.262830E+0
31/08/2022  14:13:48.245251	-2.275988E-2	31/08/2022  14:13:48.245252	-2.320149E+0
31/08/2022  14:13:48.245253	-2.340390E-2	31/08/2022  14:13:48.245254	-2.372476E+0
31/08/2022  14:13:48.245255	-2.453093E-2	31/08/2022  14:13:48.245256	-2.432210E+0
31/08/2022  14:13:48.245257	-2.292088E-2	31/08/2022  14:13:48.245258	-2.485665E+0
31/08/2022  14:13:48.245259	-2.485293E-2	31/08/2022  14:13:48.245260	-2.542662E+0
31/08/2022  14:13:48.245261	-2.275988E-2	31/08/2022  14:13:48.245262	-2.593380E+0
31/08/2022  14:13:48.245263	-2.485293E-2	31/08/2022  14:13:48.245264	-2.642004E+0
31/08/2022  14:13:48.245265	-2.565795E-2	31/08/2022  14:13:48.245266	-2.700450E+0
31/08/2022  14:13:48.245267	-2.597996E-2	31/08/2022  14:13:48.245268	-2.756965E+0
31/08/2022  14:13:48.245269	-2.388691E-2	31/08/2022  14:13:48.245270	-2.805267E+0
31/08/2022  14:13:48.245271	-2.436992E-2	31/08/2022  14:13:48.245272	-2.855341E+0
31/08/2022  14:13:48.245273	-2.662398E-2	31/08/2022  14:13:48.245274	-2.907991E+0
31/08/2022  14:13:48.245275	-2.581896E-2	31/08/2022  14:13:48.245276	-2.959192E+0
31/08/2022  14:13:48.245277	-2.839502E-2	31/08/2022  14:13:48.245278	-3.008944E+0
31/08/2022  14:13:48.245279	-2.823402E-2	31/08/2022  14:13:48.245280	-3.062400E+0
31/08/2022  14:13:48.245281	-2.855603E-2	31/08/2022  14:13:48.245282	-3.110542E+0
31/08/2022  14:13:48.245283	-2.662398E-2	31/08/2022  14:13:48.245284	-3.162065E+0
31/08/2022  14:13:48.245285	-2.839502E-2	31/08/2022  14:13:48.245286	-3.208114E+0
31/08/2022  14:13:48.245287	-2.871703E-2	31/08/2022  14:13:48.245288	-3.255451E+0
31/08/2022  14:13:48.245289	-2.952205E-2	31/08/2022  14:13:48.245290	-3.303432E+0
31/08/2022  14:13:48.245291	-2.871703E-2	31/08/2022  14:13:48.245292	-3.353829E+0
31/08/2022  14:13:48.245293	-3.016607E-2	31/08/2022  14:13:48.245294	-3.393598E+0
31/08/2022  14:13:48.245295	-3.000506E-2	31/08/2022  14:13:48.245296	-3.444800E+0
31/08/2022  14:13:48.245297	-3.032707E-2	31/08/2022  14:13:48.245298	-3.488273E+0
31/08/2022  14:13:48.245299	-3.097109E-2	31/08/2022  14:13:48.245300	-3.537543E+0
31/08/2022  14:13:48.245301	-3.113209E-2	31/08/2022  14:13:48.245302	-3.579406E+0
31/08/2022  14:13:48.245303	-3.177611E-2	31/08/2022  14:13:48.245304	-3.618693E+0
31/08/2022  14:13:48.245305	-3.306414E-2	31/08/2022  14:13:48.245306	-3.666030E+0
31/08/2022  14:13:48.245307	-3.354716E-2	31/08/2022  14:13:48.245308	-3.711275E+0
31/08/2022  14:13:48.245309	-3.467418E-2	31/08/2022  14:13:48.245310	-3.754909E+0
31/08/2022  14:13:48.245311	-3.596222E-2	31/08/2022  14:13:48.245312	-3.790976E+0
31/08/2022  14:13:48.245313	-3.644523E-2	31/08/2022  14:13:48.245314	-3.835415E+0
31/08/2022  14:13:48.245315	-3.789427E-2	31/08/2022  14:13:48.245316	-3.877118E+0
31/08/2022  14:13:48.245317	-3.886029E-2	31/08/2022  14:13:48.245318	-3.911897E+0
31/08/2022  14:13:48.245319	-3.869929E-2	31/08/2022  14:13:48.245320	-3.952150E+0
31/08/2022  14:13:48.245321	-3.982632E-2	31/08/2022  14:13:48.245322	-3.989827E+0
31/08/2022  14:13:48.245323	-4.111435E-2	31/08/2022  14:13:48.245324	-4.028631E+0
31/08/2022  14:13:48.245325	-4.369041E-2	31/08/2022  14:13:48.245326	-4.066469E+0
31/08/2022  14:13:48.245327	-4.433443E-2	31/08/2022  14:13:48.245328	-4.102376E+0
31/08/2022  14:13:48.245329	-4.723250E-2	31/08/2022  14:13:48.245330	-4.134900E+0
31/08/2022  14:13:48.245331	-4.723250E-2	31/08/2022  14:13:48.245332	-4.175315E+0
31/08/2022  14:13:48.245333	-5.125761E-2	31/08/2022  14:13:48.245334	-4.204942E+0
31/08/2022  14:13:48.245335	-5.174062E-2	31/08/2022  14:13:48.245336	-4.242941E+0
31/08/2022  14:13:48.245337	-5.673175E-2	31/08/2022  14:13:48.245338	-4.278847E+0
31/08/2022  14:13:48.245339	-5.592673E-2	31/08/2022  14:13:48.245340	-4.306703E+0
31/08/2022  14:13:48.245341	-6.043484E-2	31/08/2022  14:13:48.245342	-4.341482E+0
31/08/2022  14:13:48.245343	-6.317191E-2	31/08/2022  14:13:48.245344	-4.370143E+0
31/08/2022  14:13:48.245345	-6.542597E-2	31/08/2022  14:13:48.245346	-4.400575E+0
31/08/2022  14:13:48.245347	-6.768003E-2	31/08/2022  14:13:48.245348	-4.433261E+0
31/08/2022  14:13:48.245349	-7.090011E-2	31/08/2022  14:13:48.245350	-4.459989E+0
31/08/2022  14:13:48.245351	-7.444220E-2	31/08/2022  14:13:48.245352	-4.483658E+0
31/08/2022  14:13:48.245353	-7.975534E-2	31/08/2022  14:13:48.245354	-4.514412E+0
31/08/2022  14:13:48.245355	-8.394145E-2	31/08/2022  14:13:48.245356	-4.544361E+0
31/08/2022  14:13:48.245357	-8.732253E-2	31/08/2022  14:13:48.245358	-4.570929E+0
31/08/2022  14:13:48.245359	-9.070362E-2	31/08/2022  14:13:48.245360	-4.592827E+0
31/08/2022  14:13:48.245361	-9.714379E-2	31/08/2022  14:13:48.245362	-4.620844E+0
31/08/2022  14:13:48.245363	-1.011689E-1	31/08/2022  14:13:48.245364	-4.643225E+0
31/08/2022  14:13:48.245365	-1.072870E-1	31/08/2022  14:13:48.245366	-4.669310E+0
31/08/2022  14:13:48.245367	-1.106681E-1	31/08/2022  14:13:48.245368	-4.688954E+0
31/08/2022  14:13:48.245369	-1.151763E-1	31/08/2022  14:13:48.245370	-4.711818E+0
31/08/2022  14:13:48.245371	-1.219384E-1	31/08/2022  14:13:48.245372	-4.736293E+0
31/08/2022  14:13:48.245373	-1.285396E-1	31/08/2022  14:13:48.245374	-4.753522E+0
31/08/2022  14:13:48.245375	-1.346578E-1	31/08/2022  14:13:48.245376	-4.776064E+0
31/08/2022  14:13:48.245377	-1.388439E-1	31/08/2022  14:13:48.245378	-4.792649E+0
31/08/2022  14:13:48.245379	-1.454450E-1	31/08/2022  14:13:48.245380	-4.808750E+0
31/08/2022  14:13:48.245381	-1.512412E-1	31/08/2022  14:13:48.245382	-4.822276E+0
31/08/2022  14:13:48.245383	-1.568763E-1	31/08/2022  14:13:48.245384	-4.843208E+0
31/08/2022  14:13:48.245385	-1.621895E-1	31/08/2022  14:13:48.245386	-4.863174E+0
31/08/2022  14:13:48.245387	-1.662146E-1	31/08/2022  14:13:48.245388	-4.873640E+0
31/08/2022  14:13:48.245389	-1.724937E-1	31/08/2022  14:13:48.245390	-4.892480E+0
31/08/2022  14:13:48.245391	-1.786119E-1	31/08/2022  14:13:48.245392	-4.900208E+0
31/08/2022  14:13:48.245393	-1.836030E-1	31/08/2022  14:13:48.245394	-4.919530E+0
31/08/2022  14:13:48.245395	-1.881111E-1	31/08/2022  14:13:48.245396	-4.927420E+0
31/08/2022  14:13:48.245397	-1.927803E-1	31/08/2022  14:13:48.245398	-4.937403E+0
31/08/2022  14:13:48.245399	-1.984154E-1	31/08/2022  14:13:48.245400	-4.950768E+0
31/08/2022  14:13:48.245401	-2.051776E-1	31/08/2022  14:13:48.245402	-4.957853E+0
31/08/2022  14:13:48.245403	-2.080757E-1	31/08/2022  14:13:48.245404	-4.966387E+0
31/08/2022  14:13:48.245405	-2.100077E-1	31/08/2022  14:13:48.245406	-4.979912E+0
31/08/2022  14:13:48.245407	-2.135498E-1	31/08/2022  14:13:48.245408	-4.984582E+0
31/08/2022  14:13:48.245409	-2.185409E-1	31/08/2022  14:13:48.245410	-4.991666E+0
31/08/2022  14:13:48.245411	-2.228881E-1	31/08/2022  14:13:48.245412	-4.995048E+0
31/08/2022  14:13:48.245413	-2.232101E-1	31/08/2022  14:13:48.245414	-4.994726E+0
31/08/2022  14:13:48.245415	-2.277182E-1	31/08/2022  14:13:48.245416	-5.003904E+0
31/08/2022  14:13:48.245417	-2.269132E-1	31/08/2022  14:13:48.245418	-5.009539E+0
31/08/2022  14:13:48.245419	-2.280402E-1	31/08/2022  14:13:48.245420	-5.017268E+0
31/08/2022  14:13:48.245421	-2.310993E-1	31/08/2022  14:13:48.245422	-5.015497E+0
31/08/2022  14:13:48.245423	-2.331923E-1	31/08/2022  14:13:48.245424	-5.015819E+0
31/08/2022  14:13:48.245425	-2.319043E-1	31/08/2022  14:13:48.245426	-5.016463E+0
31/08/2022  14:13:48.245427	-2.325483E-1	31/08/2022  14:13:48.245428	-5.013726E+0
31/08/2022  14:13:48.245429	-2.335143E-1	31/08/2022  14:13:48.245430	-5.017268E+0
31/08/2022  14:13:48.245431	-2.325483E-1	31/08/2022  14:13:48.245432	-5.016463E+0
31/08/2022  14:13:48.245433	-2.304553E-1	31/08/2022  14:13:48.245434	-5.009056E+0
31/08/2022  14:13:48.245435	-2.275572E-1	31/08/2022  14:13:48.245436	-5.007929E+0
31/08/2022  14:13:48.245437	-2.273962E-1	31/08/2022  14:13:48.245438	-5.008412E+0
31/08/2022  14:13:48.245439	-2.225661E-1	31/08/2022  14:13:48.245440	-4.997302E+0
31/08/2022  14:13:48.245441	-2.232101E-1	31/08/2022  14:13:48.245442	-4.990217E+0
31/08/2022  14:13:48.245443	-2.195070E-1	31/08/2022  14:13:48.245444	-4.986836E+0
31/08/2022  14:13:48.245445	-2.145158E-1	31/08/2022  14:13:48.245446	-4.980717E+0
31/08/2022  14:13:48.245447	-2.141938E-1	31/08/2022  14:13:48.245448	-4.969124E+0
31/08/2022  14:13:48.245449	-2.104907E-1	31/08/2022  14:13:48.245450	-4.960107E+0
31/08/2022  14:13:48.245451	-2.061436E-1	31/08/2022  14:13:48.245452	-4.951734E+0
31/08/2022  14:13:48.245453	-2.016355E-1	31/08/2022  14:13:48.245454	-4.942878E+0
31/08/2022  14:13:48.245455	-1.971274E-1	31/08/2022  14:13:48.245456	-4.932895E+0
31/08/2022  14:13:48.245457	-1.890772E-1	31/08/2022  14:13:48.245458	-4.922751E+0
31/08/2022  14:13:48.245459	-1.844080E-1	31/08/2022  14:13:48.245460	-4.903107E+0
31/08/2022  14:13:48.245461	-1.800609E-1	31/08/2022  14:13:48.245462	-4.890064E+0
31/08/2022  14:13:48.245463	-1.726547E-1	31/08/2022  14:13:48.245464	-4.880081E+0
31/08/2022  14:13:48.245465	-1.692737E-1	31/08/2022  14:13:48.245466	-4.863657E+0
31/08/2022  14:13:48.245467	-1.604184E-1	31/08/2022  14:13:48.245468	-4.847717E+0
31/08/2022  14:13:48.245469	-1.554273E-1	31/08/2022  14:13:48.245470	-4.835962E+0
31/08/2022  14:13:48.245471	-1.523682E-1	31/08/2022  14:13:48.245472	-4.816801E+0
31/08/2022  14:13:48.245473	-1.462501E-1	31/08/2022  14:13:48.245474	-4.797801E+0
31/08/2022  14:13:48.245475	-1.391659E-1	31/08/2022  14:13:48.245476	-4.775420E+0
31/08/2022  14:13:48.245477	-1.338527E-1	31/08/2022  14:13:48.245478	-4.756742E+0
