waveform	[0]		[1]	
t0	31/08/2022  13:56:29.888458		31/08/2022  13:56:29.888460	
delta t	4.000000E-6		4.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
31/08/2022  13:56:29.888458	-7.023197E-4	31/08/2022  13:56:29.888460	-1.802188E+0
31/08/2022  13:56:29.888462	-8.633238E-4	31/08/2022  13:56:29.888464	-1.825856E+0
31/08/2022  13:56:29.888466	-1.346336E-3	31/08/2022  13:56:29.888468	-1.844050E+0
31/08/2022  13:56:29.888470	-1.024328E-3	31/08/2022  13:56:29.888472	-1.863693E+0
31/08/2022  13:56:29.888474	-1.668344E-3	31/08/2022  13:56:29.888476	-1.878989E+0
31/08/2022  13:56:29.888478	-1.829348E-3	31/08/2022  13:56:29.888480	-1.896538E+0
31/08/2022  13:56:29.888482	1.027008E-4	31/08/2022  13:56:29.888484	-1.910546E+0
31/08/2022  13:56:29.888486	-1.185332E-3	31/08/2022  13:56:29.888488	-1.927130E+0
31/08/2022  13:56:29.888490	-1.346336E-3	31/08/2022  13:56:29.888492	-1.938883E+0
31/08/2022  13:56:29.888494	-1.185332E-3	31/08/2022  13:56:29.888496	-1.949510E+0
31/08/2022  13:56:29.888498	-1.507340E-3	31/08/2022  13:56:29.888500	-1.962390E+0
31/08/2022  13:56:29.888502	-1.346336E-3	31/08/2022  13:56:29.888504	-1.971568E+0
31/08/2022  13:56:29.888506	-5.413156E-4	31/08/2022  13:56:29.888508	-1.979940E+0
31/08/2022  13:56:29.888510	-8.633238E-4	31/08/2022  13:56:29.888512	-1.985897E+0
31/08/2022  13:56:29.888514	9.077212E-4	31/08/2022  13:56:29.888516	-1.992176E+0
31/08/2022  13:56:29.888518	-5.830333E-5	31/08/2022  13:56:29.888520	-1.998295E+0
31/08/2022  13:56:29.888522	-5.413156E-4	31/08/2022  13:56:29.888524	-1.996363E+0
31/08/2022  13:56:29.888526	-2.193074E-4	31/08/2022  13:56:29.888528	-2.002320E+0
31/08/2022  13:56:29.888530	-2.193074E-4	31/08/2022  13:56:29.888532	-2.004896E+0
31/08/2022  13:56:29.888534	-5.830333E-5	31/08/2022  13:56:29.888536	-2.002159E+0
31/08/2022  13:56:29.888538	4.247089E-4	31/08/2022  13:56:29.888540	-1.999422E+0
31/08/2022  13:56:29.888542	1.712742E-3	31/08/2022  13:56:29.888544	-1.994109E+0
31/08/2022  13:56:29.888546	-5.830333E-5	31/08/2022  13:56:29.888548	-1.990727E+0
31/08/2022  13:56:29.888550	4.247089E-4	31/08/2022  13:56:29.888552	-1.985736E+0
31/08/2022  13:56:29.888554	-1.346336E-3	31/08/2022  13:56:29.888556	-1.976720E+0
31/08/2022  13:56:29.888558	4.247089E-4	31/08/2022  13:56:29.888560	-1.972534E+0
31/08/2022  13:56:29.888562	-3.803115E-4	31/08/2022  13:56:29.888564	-1.960458E+0
31/08/2022  13:56:29.888566	-3.803115E-4	31/08/2022  13:56:29.888568	-1.951925E+0
