waveform	[0]		[1]	
t0	7/09/2022  12:47:26.765621		7/09/2022  12:47:26.765631	
delta t	2.000000E-5		2.000000E-5	

time[0]	Y[0]	time[1]	Y[1]
7/09/2022  12:47:26.765621	-4.917437E+0	7/09/2022  12:47:26.765631	3.958415E+0
7/09/2022  12:47:26.765641	-4.935310E+0	7/09/2022  12:47:26.765651	3.957288E+0
7/09/2022  12:47:26.765661	-4.945776E+0	7/09/2022  12:47:26.765671	3.956805E+0
7/09/2022  12:47:26.765681	-4.957370E+0	7/09/2022  12:47:26.765691	3.955678E+0
7/09/2022  12:47:26.765701	-4.967836E+0	7/09/2022  12:47:26.765711	3.954873E+0
7/09/2022  12:47:26.765721	-4.976853E+0	7/09/2022  12:47:26.765731	3.954068E+0
7/09/2022  12:47:26.765741	-4.986836E+0	7/09/2022  12:47:26.765751	3.953746E+0
7/09/2022  12:47:26.765761	-4.996014E+0	7/09/2022  12:47:26.765771	3.952297E+0
7/09/2022  12:47:26.765781	-5.007607E+0	7/09/2022  12:47:26.765791	3.951653E+0
7/09/2022  12:47:26.765801	-5.006158E+0	7/09/2022  12:47:26.765811	3.950365E+0
7/09/2022  12:47:26.765821	-5.012760E+0	7/09/2022  12:47:26.765831	3.949882E+0
7/09/2022  12:47:26.765841	-5.017590E+0	7/09/2022  12:47:26.765851	3.949076E+0
7/09/2022  12:47:26.765861	-5.025319E+0	7/09/2022  12:47:26.765871	3.948110E+0
7/09/2022  12:47:26.765881	-5.027735E+0	7/09/2022  12:47:26.765891	3.947466E+0
7/09/2022  12:47:26.765901	-5.039167E+0	7/09/2022  12:47:26.765911	3.946500E+0
7/09/2022  12:47:26.765921	-5.037235E+0	7/09/2022  12:47:26.765931	3.945695E+0
7/09/2022  12:47:26.765941	-5.034819E+0	7/09/2022  12:47:26.765951	3.944729E+0
7/09/2022  12:47:26.765961	-5.035141E+0	7/09/2022  12:47:26.765971	3.944085E+0
7/09/2022  12:47:26.765981	-5.036591E+0	7/09/2022  12:47:26.765991	3.943119E+0
7/09/2022  12:47:26.766001	-5.034658E+0	7/09/2022  12:47:26.766011	3.942153E+0
7/09/2022  12:47:26.766021	-5.031599E+0	7/09/2022  12:47:26.766031	3.941509E+0
7/09/2022  12:47:26.766041	-5.025641E+0	7/09/2022  12:47:26.766051	3.940704E+0
7/09/2022  12:47:26.766061	-5.026768E+0	7/09/2022  12:47:26.766071	3.939738E+0
7/09/2022  12:47:26.766081	-5.028862E+0	7/09/2022  12:47:26.766091	3.938772E+0
7/09/2022  12:47:26.766101	-5.015497E+0	7/09/2022  12:47:26.766111	3.938289E+0
7/09/2022  12:47:26.766121	-5.010828E+0	7/09/2022  12:47:26.766131	3.937162E+0
7/09/2022  12:47:26.766141	-5.007124E+0	7/09/2022  12:47:26.766151	3.936679E+0
