waveform	[0]		[1]	
t0	7/09/2022  12:45:41.647551		7/09/2022  12:45:41.647561	
delta t	2.000000E-5		2.000000E-5	

time[0]	Y[0]	time[1]	Y[1]
7/09/2022  12:45:41.647551	-1.924071E+0	7/09/2022  12:45:41.647561	2.932799E+0
7/09/2022  12:45:41.647571	-1.976237E+0	7/09/2022  12:45:41.647581	2.926842E+0
7/09/2022  12:45:41.647591	-2.032428E+0	7/09/2022  12:45:41.647601	2.920723E+0
7/09/2022  12:45:41.647611	-2.097958E+0	7/09/2022  12:45:41.647621	2.914927E+0
7/09/2022  12:45:41.647631	-2.151896E+0	7/09/2022  12:45:41.647641	2.908809E+0
7/09/2022  12:45:41.647651	-2.207443E+0	7/09/2022  12:45:41.647661	2.903013E+0
7/09/2022  12:45:41.647671	-2.264923E+0	7/09/2022  12:45:41.647681	2.896895E+0
7/09/2022  12:45:41.647691	-2.319344E+0	7/09/2022  12:45:41.647701	2.890937E+0
7/09/2022  12:45:41.647711	-2.374408E+0	7/09/2022  12:45:41.647721	2.885302E+0
7/09/2022  12:45:41.647731	-2.436074E+0	7/09/2022  12:45:41.647741	2.879184E+0
7/09/2022  12:45:41.647751	-2.492266E+0	7/09/2022  12:45:41.647761	2.873549E+0
7/09/2022  12:45:41.647771	-2.537510E+0	7/09/2022  12:45:41.647781	2.867591E+0
7/09/2022  12:45:41.647791	-2.587583E+0	7/09/2022  12:45:41.647801	2.861634E+0
7/09/2022  12:45:41.647811	-2.648122E+0	7/09/2022  12:45:41.647821	2.855677E+0
7/09/2022  12:45:41.647831	-2.705925E+0	7/09/2022  12:45:41.647841	2.850042E+0
7/09/2022  12:45:41.647851	-2.756642E+0	7/09/2022  12:45:41.647861	2.844407E+0
7/09/2022  12:45:41.647871	-2.807199E+0	7/09/2022  12:45:41.647881	2.838127E+0
7/09/2022  12:45:41.647891	-2.855502E+0	7/09/2022  12:45:41.647901	2.832492E+0
7/09/2022  12:45:41.647911	-2.914915E+0	7/09/2022  12:45:41.647921	2.826857E+0
7/09/2022  12:45:41.647931	-2.959514E+0	7/09/2022  12:45:41.647941	2.821061E+0
7/09/2022  12:45:41.647951	-3.011520E+0	7/09/2022  12:45:41.647961	2.815264E+0
7/09/2022  12:45:41.647971	-3.059501E+0	7/09/2022  12:45:41.647981	2.809629E+0
7/09/2022  12:45:41.647991	-3.111508E+0	7/09/2022  12:45:41.648001	2.803672E+0
7/09/2022  12:45:41.648011	-3.163997E+0	7/09/2022  12:45:41.648021	2.797876E+0
7/09/2022  12:45:41.648031	-3.214393E+0	7/09/2022  12:45:41.648041	2.792241E+0
7/09/2022  12:45:41.648051	-3.265273E+0	7/09/2022  12:45:41.648061	2.786605E+0
7/09/2022  12:45:41.648071	-3.300856E+0	7/09/2022  12:45:41.648081	2.780809E+0
7/09/2022  12:45:41.648091	-3.352702E+0	7/09/2022  12:45:41.648101	2.775174E+0
7/09/2022  12:45:41.648111	-3.398107E+0	7/09/2022  12:45:41.648121	2.769539E+0
7/09/2022  12:45:41.648131	-3.446249E+0	7/09/2022  12:45:41.648141	2.763743E+0
7/09/2022  12:45:41.648151	-3.489078E+0	7/09/2022  12:45:41.648161	2.758268E+0
7/09/2022  12:45:41.648171	-3.537543E+0	7/09/2022  12:45:41.648181	2.752633E+0
7/09/2022  12:45:41.648191	-3.577313E+0	7/09/2022  12:45:41.648201	2.746998E+0
7/09/2022  12:45:41.648211	-3.628997E+0	7/09/2022  12:45:41.648221	2.741363E+0
7/09/2022  12:45:41.648231	-3.674725E+0	7/09/2022  12:45:41.648241	2.735889E+0
7/09/2022  12:45:41.648251	-3.716588E+0	7/09/2022  12:45:41.648261	2.730253E+0
7/09/2022  12:45:41.648271	-3.753138E+0	7/09/2022  12:45:41.648281	2.724296E+0
7/09/2022  12:45:41.648291	-3.793230E+0	7/09/2022  12:45:41.648301	2.718983E+0
7/09/2022  12:45:41.648311	-3.831229E+0	7/09/2022  12:45:41.648321	2.713348E+0
7/09/2022  12:45:41.648331	-3.881787E+0	7/09/2022  12:45:41.648341	2.707874E+0
7/09/2022  12:45:41.648351	-3.918337E+0	7/09/2022  12:45:41.648361	2.702560E+0
7/09/2022  12:45:41.648371	-3.958590E+0	7/09/2022  12:45:41.648381	2.696925E+0
7/09/2022  12:45:41.648391	-3.998844E+0	7/09/2022  12:45:41.648401	2.691290E+0
7/09/2022  12:45:41.648411	-4.035233E+0	7/09/2022  12:45:41.648421	2.686138E+0
7/09/2022  12:45:41.648431	-4.075003E+0	7/09/2022  12:45:41.648441	2.680503E+0
7/09/2022  12:45:41.648451	-4.106884E+0	7/09/2022  12:45:41.648461	2.675029E+0
7/09/2022  12:45:41.648471	-4.143112E+0	7/09/2022  12:45:41.648481	2.669554E+0
7/09/2022  12:45:41.648491	-4.185137E+0	7/09/2022  12:45:41.648501	2.664241E+0
7/09/2022  12:45:41.648511	-4.212187E+0	7/09/2022  12:45:41.648521	2.658606E+0
7/09/2022  12:45:41.648531	-4.251153E+0	7/09/2022  12:45:41.648541	2.652971E+0
7/09/2022  12:45:41.648551	-4.281584E+0	7/09/2022  12:45:41.648561	2.647819E+0
7/09/2022  12:45:41.648571	-4.314109E+0	7/09/2022  12:45:41.648581	2.642344E+0
7/09/2022  12:45:41.648591	-4.351465E+0	7/09/2022  12:45:41.648601	2.636870E+0
7/09/2022  12:45:41.648611	-4.379482E+0	7/09/2022  12:45:41.648621	2.631396E+0
7/09/2022  12:45:41.648631	-4.411202E+0	7/09/2022  12:45:41.648641	2.626405E+0
7/09/2022  12:45:41.648651	-4.437447E+0	7/09/2022  12:45:41.648661	2.620931E+0
7/09/2022  12:45:41.648671	-4.467235E+0	7/09/2022  12:45:41.648681	2.615617E+0
7/09/2022  12:45:41.648691	-4.497989E+0	7/09/2022  12:45:41.648701	2.609982E+0
7/09/2022  12:45:41.648711	-4.526489E+0	7/09/2022  12:45:41.648721	2.604991E+0
7/09/2022  12:45:41.648731	-4.553700E+0	7/09/2022  12:45:41.648741	2.599517E+0
7/09/2022  12:45:41.648751	-4.584937E+0	7/09/2022  12:45:41.648761	2.594365E+0
7/09/2022  12:45:41.648771	-4.604742E+0	7/09/2022  12:45:41.648781	2.589213E+0
7/09/2022  12:45:41.648791	-4.634691E+0	7/09/2022  12:45:41.648801	2.583738E+0
7/09/2022  12:45:41.648811	-4.653691E+0	7/09/2022  12:45:41.648821	2.578586E+0
7/09/2022  12:45:41.648831	-4.673496E+0	7/09/2022  12:45:41.648841	2.573273E+0
7/09/2022  12:45:41.648851	-4.702640E+0	7/09/2022  12:45:41.648861	2.567799E+0
7/09/2022  12:45:41.648871	-4.721640E+0	7/09/2022  12:45:41.648881	2.562808E+0
7/09/2022  12:45:41.648891	-4.742895E+0	7/09/2022  12:45:41.648901	2.557333E+0
7/09/2022  12:45:41.648911	-4.759479E+0	7/09/2022  12:45:41.648921	2.552181E+0
7/09/2022  12:45:41.648931	-4.781378E+0	7/09/2022  12:45:41.648941	2.547029E+0
7/09/2022  12:45:41.648951	-4.814547E+0	7/09/2022  12:45:41.648961	2.541877E+0
7/09/2022  12:45:41.648971	-4.818412E+0	7/09/2022  12:45:41.648981	2.536886E+0
7/09/2022  12:45:41.648991	-4.836445E+0	7/09/2022  12:45:41.649001	2.531573E+0
7/09/2022  12:45:41.649011	-4.860115E+0	7/09/2022  12:45:41.649021	2.526581E+0
7/09/2022  12:45:41.649031	-4.878149E+0	7/09/2022  12:45:41.649041	2.521268E+0
7/09/2022  12:45:41.649051	-4.889259E+0	7/09/2022  12:45:41.649061	2.516116E+0
