waveform	[0]		[1]	
t0	7/09/2022  12:40:51.816251		7/09/2022  12:40:51.816261	
delta t	2.000000E-5		2.000000E-5	

time[0]	Y[0]	time[1]	Y[1]
7/09/2022  12:40:51.816251	-3.735104E+0	7/09/2022  12:40:51.816261	3.213057E-1
7/09/2022  12:40:51.816271	-3.775197E+0	7/09/2022  12:40:51.816281	3.156705E-1
7/09/2022  12:40:51.816291	-3.820441E+0	7/09/2022  12:40:51.816301	3.108404E-1
7/09/2022  12:40:51.816311	-3.861016E+0	7/09/2022  12:40:51.816321	3.052053E-1
7/09/2022  12:40:51.816331	-3.899821E+0	7/09/2022  12:40:51.816341	3.003752E-1
7/09/2022  12:40:51.816351	-3.940235E+0	7/09/2022  12:40:51.816361	2.955451E-1
7/09/2022  12:40:51.816371	-3.981293E+0	7/09/2022  12:40:51.816381	2.902319E-1
7/09/2022  12:40:51.816391	-4.017843E+0	7/09/2022  12:40:51.816401	2.850798E-1
7/09/2022  12:40:51.816411	-4.058419E+0	7/09/2022  12:40:51.816421	2.807327E-1
7/09/2022  12:40:51.816431	-4.098672E+0	7/09/2022  12:40:51.816441	2.757416E-1
7/09/2022  12:40:51.816451	-4.126850E+0	7/09/2022  12:40:51.816461	2.712335E-1
7/09/2022  12:40:51.816471	-4.166459E+0	7/09/2022  12:40:51.816481	2.665643E-1
7/09/2022  12:40:51.816491	-4.203331E+0	7/09/2022  12:40:51.816501	2.618952E-1
7/09/2022  12:40:51.816511	-4.234729E+0	7/09/2022  12:40:51.816521	2.580311E-1
7/09/2022  12:40:51.816531	-4.274500E+0	7/09/2022  12:40:51.816541	2.536840E-1
7/09/2022  12:40:51.816551	-4.302838E+0	7/09/2022  12:40:51.816561	2.493369E-1
7/09/2022  12:40:51.816571	-4.332143E+0	7/09/2022  12:40:51.816581	2.451508E-1
7/09/2022  12:40:51.816591	-4.365956E+0	7/09/2022  12:40:51.816601	2.409647E-1
7/09/2022  12:40:51.816611	-4.399769E+0	7/09/2022  12:40:51.816621	2.366176E-1
7/09/2022  12:40:51.816631	-4.428430E+0	7/09/2022  12:40:51.816641	2.329145E-1
7/09/2022  12:40:51.816651	-4.463048E+0	7/09/2022  12:40:51.816661	2.290504E-1
7/09/2022  12:40:51.816671	-4.486235E+0	7/09/2022  12:40:51.816681	2.251863E-1
7/09/2022  12:40:51.816691	-4.516023E+0	7/09/2022  12:40:51.816701	2.213222E-1
7/09/2022  12:40:51.816711	-4.547582E+0	7/09/2022  12:40:51.816721	2.174581E-1
7/09/2022  12:40:51.816731	-4.567709E+0	7/09/2022  12:40:51.816741	2.134330E-1
7/09/2022  12:40:51.816751	-4.595726E+0	7/09/2022  12:40:51.816761	2.106960E-1
7/09/2022  12:40:51.816771	-4.616658E+0	7/09/2022  12:40:51.816781	2.068319E-1
7/09/2022  12:40:51.816791	-4.645480E+0	7/09/2022  12:40:51.816801	2.034508E-1
7/09/2022  12:40:51.816811	-4.679293E+0	7/09/2022  12:40:51.816821	2.002307E-1
7/09/2022  12:40:51.816831	-4.696361E+0	7/09/2022  12:40:51.816841	1.963666E-1
7/09/2022  12:40:51.816851	-4.714234E+0	7/09/2022  12:40:51.816861	1.933075E-1
7/09/2022  12:40:51.816871	-4.733556E+0	7/09/2022  12:40:51.816881	1.902485E-1
7/09/2022  12:40:51.816891	-4.754810E+0	7/09/2022  12:40:51.816901	1.868674E-1
7/09/2022  12:40:51.816911	-4.786852E+0	7/09/2022  12:40:51.816921	1.836473E-1
7/09/2022  12:40:51.816931	-4.805852E+0	7/09/2022  12:40:51.816941	1.809102E-1
7/09/2022  12:40:51.816951	-4.824691E+0	7/09/2022  12:40:51.816961	1.776902E-1
7/09/2022  12:40:51.816971	-4.832903E+0	7/09/2022  12:40:51.816981	1.746311E-1
7/09/2022  12:40:51.816991	-4.852064E+0	7/09/2022  12:40:51.817001	1.717330E-1
7/09/2022  12:40:51.817011	-4.870259E+0	7/09/2022  12:40:51.817021	1.686739E-1
7/09/2022  12:40:51.817031	-4.880242E+0	7/09/2022  12:40:51.817041	1.657759E-1
7/09/2022  12:40:51.817051	-4.900530E+0	7/09/2022  12:40:51.817061	1.630388E-1
7/09/2022  12:40:51.817071	-4.910836E+0	7/09/2022  12:40:51.817081	1.603017E-1
7/09/2022  12:40:51.817091	-4.933539E+0	7/09/2022  12:40:51.817101	1.575647E-1
7/09/2022  12:40:51.817111	-4.941429E+0	7/09/2022  12:40:51.817121	1.549886E-1
7/09/2022  12:40:51.817131	-4.951895E+0	7/09/2022  12:40:51.817141	1.522515E-1
7/09/2022  12:40:51.817151	-4.956565E+0	7/09/2022  12:40:51.817161	1.496755E-1
7/09/2022  12:40:51.817171	-4.975082E+0	7/09/2022  12:40:51.817181	1.472604E-1
7/09/2022  12:40:51.817191	-4.979590E+0	7/09/2022  12:40:51.817201	1.446843E-1
7/09/2022  12:40:51.817211	-4.985387E+0	7/09/2022  12:40:51.817221	1.425913E-1
7/09/2022  12:40:51.817231	-5.001005E+0	7/09/2022  12:40:51.817241	1.400152E-1
7/09/2022  12:40:51.817251	-5.012438E+0	7/09/2022  12:40:51.817261	1.376002E-1
7/09/2022  12:40:51.817271	-5.017912E+0	7/09/2022  12:40:51.817281	1.351851E-1
7/09/2022  12:40:51.817291	-5.019684E+0	7/09/2022  12:40:51.817301	1.329310E-1
7/09/2022  12:40:51.817311	-5.031599E+0	7/09/2022  12:40:51.817321	1.309990E-1
7/09/2022  12:40:51.817331	-5.029667E+0	7/09/2022  12:40:51.817341	1.285839E-1
7/09/2022  12:40:51.817351	-5.028057E+0	7/09/2022  12:40:51.817361	1.264909E-1
7/09/2022  12:40:51.817371	-5.037879E+0	7/09/2022  12:40:51.817381	1.240758E-1
7/09/2022  12:40:51.817391	-5.035624E+0	7/09/2022  12:40:51.817401	1.219828E-1
7/09/2022  12:40:51.817411	-5.036268E+0	7/09/2022  12:40:51.817421	1.198897E-1
7/09/2022  12:40:51.817431	-5.040294E+0	7/09/2022  12:40:51.817441	1.179577E-1
7/09/2022  12:40:51.817451	-5.037718E+0	7/09/2022  12:40:51.817461	1.161866E-1
7/09/2022  12:40:51.817471	-5.032082E+0	7/09/2022  12:40:51.817481	1.140936E-1
7/09/2022  12:40:51.817491	-5.040455E+0	7/09/2022  12:40:51.817501	1.120005E-1
7/09/2022  12:40:51.817511	-5.030311E+0	7/09/2022  12:40:51.817521	1.105515E-1
7/09/2022  12:40:51.817531	-5.026285E+0	7/09/2022  12:40:51.817541	1.082974E-1
7/09/2022  12:40:51.817551	-5.016785E+0	7/09/2022  12:40:51.817561	1.066874E-1
