waveform	[0]		[1]	
t0	7/09/2022  13:06:02.715167		7/09/2022  13:06:02.715177	
delta t	2.000000E-5		2.000000E-5	

time[0]	Y[0]	time[1]	Y[1]
7/09/2022  13:06:02.715167	4.525329E+0	7/09/2022  13:06:02.715177	4.070477E+0
7/09/2022  13:06:02.715187	4.497796E+0	7/09/2022  13:06:02.715197	4.059689E+0
7/09/2022  13:06:02.715207	4.469298E+0	7/09/2022  13:06:02.715217	4.043589E+0
7/09/2022  13:06:02.715227	4.439350E+0	7/09/2022  13:06:02.715237	4.028132E+0
7/09/2022  13:06:02.715247	4.409402E+0	7/09/2022  13:06:02.715257	4.012514E+0
7/09/2022  13:06:02.715267	4.380581E+0	7/09/2022  13:06:02.715277	3.996896E+0
7/09/2022  13:06:02.715287	4.351760E+0	7/09/2022  13:06:02.715297	3.979507E+0
7/09/2022  13:06:02.715307	4.319397E+0	7/09/2022  13:06:02.715317	3.963245E+0
7/09/2022  13:06:02.715327	4.292509E+0	7/09/2022  13:06:02.715337	3.946500E+0
7/09/2022  13:06:02.715347	4.260629E+0	7/09/2022  13:06:02.715357	3.928467E+0
7/09/2022  13:06:02.715367	4.225529E+0	7/09/2022  13:06:02.715377	3.913333E+0
7/09/2022  13:06:02.715387	4.193810E+0	7/09/2022  13:06:02.715397	3.895300E+0
7/09/2022  13:06:02.715407	4.165150E+0	7/09/2022  13:06:02.715417	3.880970E+0
7/09/2022  13:06:02.715427	4.127635E+0	7/09/2022  13:06:02.715437	3.866801E+0
7/09/2022  13:06:02.715447	4.086739E+0	7/09/2022  13:06:02.715457	3.854565E+0
7/09/2022  13:06:02.715467	4.056630E+0	7/09/2022  13:06:02.715477	3.842650E+0
7/09/2022  13:06:02.715487	4.020725E+0	7/09/2022  13:06:02.715497	3.829447E+0
7/09/2022  13:06:02.715507	3.979346E+0	7/09/2022  13:06:02.715517	3.816406E+0
7/09/2022  13:06:02.715527	3.943441E+0	7/09/2022  13:06:02.715537	3.802398E+0
7/09/2022  13:06:02.715547	3.901096E+0	7/09/2022  13:06:02.715557	3.785975E+0
7/09/2022  13:06:02.715567	3.865835E+0	7/09/2022  13:06:02.715577	3.769391E+0
7/09/2022  13:06:02.715587	3.835888E+0	7/09/2022  13:06:02.715597	3.755706E+0
7/09/2022  13:06:02.715607	3.785170E+0	7/09/2022  13:06:02.715617	3.731071E+0
7/09/2022  13:06:02.715627	3.746850E+0	7/09/2022  13:06:02.715637	3.711428E+0
7/09/2022  13:06:02.715647	3.704666E+0	7/09/2022  13:06:02.715657	3.687438E+0
7/09/2022  13:06:02.715667	3.666346E+0	7/09/2022  13:06:02.715677	3.661838E+0
7/09/2022  13:06:02.715687	3.618849E+0	7/09/2022  13:06:02.715697	3.631086E+0
7/09/2022  13:06:02.715707	3.578919E+0	7/09/2022  13:06:02.715717	3.599528E+0
7/09/2022  13:06:02.715727	3.536413E+0	7/09/2022  13:06:02.715737	3.562979E+0
7/09/2022  13:06:02.715747	3.490365E+0	7/09/2022  13:06:02.715757	3.524982E+0
7/09/2022  13:06:02.715767	3.444156E+0	7/09/2022  13:06:02.715777	3.484730E+0
7/09/2022  13:06:02.715787	3.405675E+0	7/09/2022  13:06:02.715797	3.445766E+0
7/09/2022  13:06:02.715807	3.354153E+0	7/09/2022  13:06:02.715817	3.400362E+0
7/09/2022  13:06:02.715827	3.306656E+0	7/09/2022  13:06:02.715837	3.353348E+0
7/09/2022  13:06:02.715847	3.256905E+0	7/09/2022  13:06:02.715857	3.307139E+0
7/09/2022  13:06:02.715867	3.208281E+0	7/09/2022  13:06:02.715877	3.258032E+0
7/09/2022  13:06:02.715887	3.168995E+0	7/09/2022  13:06:02.715897	3.213272E+0
7/09/2022  13:06:02.715907	3.120532E+0	7/09/2022  13:06:02.715917	3.168995E+0
7/09/2022  13:06:02.715927	3.070459E+0	7/09/2022  13:06:02.715937	3.118761E+0
7/09/2022  13:06:02.715947	3.014107E+0	7/09/2022  13:06:02.715957	3.066756E+0
7/09/2022  13:06:02.715967	2.963712E+0	7/09/2022  13:06:02.715977	3.016522E+0
7/09/2022  13:06:02.715987	2.916698E+0	7/09/2022  13:06:02.715997	2.968059E+0
7/09/2022  13:06:02.716007	2.864371E+0	7/09/2022  13:06:02.716017	2.917986E+0
7/09/2022  13:06:02.716027	2.817519E+0	7/09/2022  13:06:02.716037	2.867430E+0
7/09/2022  13:06:02.716047	2.756336E+0	7/09/2022  13:06:02.716057	2.813815E+0
7/09/2022  13:06:02.716067	2.709001E+0	7/09/2022  13:06:02.716077	2.763743E+0
7/09/2022  13:06:02.716087	2.663436E+0	7/09/2022  13:06:02.716097	2.712865E+0
7/09/2022  13:06:02.716107	2.605313E+0	7/09/2022  13:06:02.716117	2.661182E+0
7/09/2022  13:06:02.716127	2.555884E+0	7/09/2022  13:06:02.716137	2.608533E+0
7/09/2022  13:06:02.716147	2.495668E+0	7/09/2022  13:06:02.716157	2.553469E+0
7/09/2022  13:06:02.716167	2.445113E+0	7/09/2022  13:06:02.716177	2.502753E+0
7/09/2022  13:06:02.716187	2.388761E+0	7/09/2022  13:06:02.716197	2.447206E+0
7/09/2022  13:06:02.716207	2.339010E+0	7/09/2022  13:06:02.716217	2.394557E+0
7/09/2022  13:06:02.716227	2.279761E+0	7/09/2022  13:06:02.716237	2.337722E+0
7/09/2022  13:06:02.716247	2.221638E+0	7/09/2022  13:06:02.716257	2.281210E+0
7/09/2022  13:06:02.716267	2.163837E+0	7/09/2022  13:06:02.716277	2.223892E+0
7/09/2022  13:06:02.716287	2.104104E+0	7/09/2022  13:06:02.716297	2.166735E+0
7/09/2022  13:06:02.716307	2.056447E+0	7/09/2022  13:06:02.716317	2.113765E+0
7/09/2022  13:06:02.716327	2.000095E+0	7/09/2022  13:06:02.716337	2.057574E+0
7/09/2022  13:06:02.716347	1.936659E+0	7/09/2022  13:06:02.716357	2.000095E+0
7/09/2022  13:06:02.716367	1.881435E+0	7/09/2022  13:06:02.716377	1.942617E+0
7/09/2022  13:06:02.716387	1.818965E+0	7/09/2022  13:06:02.716397	1.882079E+0
7/09/2022  13:06:02.716407	1.761809E+0	7/09/2022  13:06:02.716417	1.823634E+0
7/09/2022  13:06:02.716427	1.702398E+0	7/09/2022  13:06:02.716437	1.765995E+0
7/09/2022  13:06:02.716447	1.647334E+0	7/09/2022  13:06:02.716457	1.706745E+0
7/09/2022  13:06:02.716467	1.586797E+0	7/09/2022  13:06:02.716477	1.649750E+0
7/09/2022  13:06:02.716487	1.527869E+0	7/09/2022  13:06:02.716497	1.590983E+0
7/09/2022  13:06:02.716507	1.468620E+0	7/09/2022  13:06:02.716517	1.532699E+0
7/09/2022  13:06:02.716527	1.409048E+0	7/09/2022  13:06:02.716537	1.474577E+0
7/09/2022  13:06:02.716547	1.351087E+0	7/09/2022  13:06:02.716557	1.411463E+0
7/09/2022  13:06:02.716567	1.282821E+0	7/09/2022  13:06:02.716577	1.350443E+0
7/09/2022  13:06:02.716587	1.223733E+0	7/09/2022  13:06:02.716597	1.289905E+0
7/09/2022  13:06:02.716607	1.164161E+0	7/09/2022  13:06:02.716617	1.230495E+0
7/09/2022  13:06:02.716627	1.105234E+0	7/09/2022  13:06:02.716637	1.170440E+0
7/09/2022  13:06:02.716647	1.046628E+0	7/09/2022  13:06:02.716657	1.109259E+0
7/09/2022  13:06:02.716667	9.788456E-1	7/09/2022  13:06:02.716677	1.047433E+0
7/09/2022  13:06:02.716687	9.189521E-1	7/09/2022  13:06:02.716697	9.868958E-1
7/09/2022  13:06:02.716707	8.502035E-1	7/09/2022  13:06:02.716717	9.218502E-1
7/09/2022  13:06:02.716727	7.915981E-1	7/09/2022  13:06:02.716737	8.611517E-1
7/09/2022  13:06:02.716747	7.342807E-1	7/09/2022  13:06:02.716757	8.001313E-1
7/09/2022  13:06:02.716767	6.687521E-1	7/09/2022  13:06:02.716777	7.362127E-1
7/09/2022  13:06:02.716787	6.062826E-1	7/09/2022  13:06:02.716797	6.730992E-1
7/09/2022  13:06:02.716807	5.481602E-1	7/09/2022  13:06:02.716817	6.141718E-1
7/09/2022  13:06:02.716827	4.778015E-1	7/09/2022  13:06:02.716837	5.496092E-1
7/09/2022  13:06:02.716847	4.203231E-1	7/09/2022  13:06:02.716857	4.885888E-1
7/09/2022  13:06:02.716867	3.525404E-1	7/09/2022  13:06:02.716877	4.240262E-1
7/09/2022  13:06:02.716887	2.928080E-1	7/09/2022  13:06:02.716897	3.630057E-1
7/09/2022  13:06:02.716907	2.356516E-1	7/09/2022  13:06:02.716917	3.019852E-1
7/09/2022  13:06:02.716927	1.659369E-1	7/09/2022  13:06:02.716937	2.367786E-1
7/09/2022  13:06:02.716947	1.074924E-1	7/09/2022  13:06:02.716957	1.752751E-1
7/09/2022  13:06:02.716967	3.987071E-2	7/09/2022  13:06:02.716977	1.099075E-1
7/09/2022  13:06:02.716987	-1.792976E-2	7/09/2022  13:06:02.716997	4.727689E-2
7/09/2022  13:06:02.717007	-8.039935E-2	7/09/2022  13:06:02.717017	-1.148959E-2
7/09/2022  13:06:02.717027	-1.385219E-1	7/09/2022  13:06:02.717037	-7.057810E-2
7/09/2022  13:06:02.717047	-2.066266E-1	7/09/2022  13:06:02.717057	-1.309547E-1
