waveform	[0]		[1]	
t0	7/09/2022  12:59:15.270374		7/09/2022  12:59:15.270384	
delta t	2.000000E-5		2.000000E-5	

time[0]	Y[0]	time[1]	Y[1]
7/09/2022  12:59:15.270374	1.302142E+0	7/09/2022  12:59:15.270384	5.623285E-1
7/09/2022  12:59:15.270394	1.360586E+0	7/09/2022  12:59:15.270404	5.529903E-1
7/09/2022  12:59:15.270414	1.417259E+0	7/09/2022  12:59:15.270424	5.442961E-1
7/09/2022  12:59:15.270434	1.474255E+0	7/09/2022  12:59:15.270444	5.362459E-1
7/09/2022  12:59:15.270454	1.531733E+0	7/09/2022  12:59:15.270464	5.291617E-1
7/09/2022  12:59:15.270474	1.586958E+0	7/09/2022  12:59:15.270484	5.233656E-1
7/09/2022  12:59:15.270494	1.648139E+0	7/09/2022  12:59:15.270504	5.207895E-1
7/09/2022  12:59:15.270514	1.695636E+0	7/09/2022  12:59:15.270524	5.219166E-1
7/09/2022  12:59:15.270534	1.741039E+0	7/09/2022  12:59:15.270544	5.281957E-1
7/09/2022  12:59:15.270554	1.776621E+0	7/09/2022  12:59:15.270564	5.401100E-1
7/09/2022  12:59:15.270574	1.820575E+0	7/09/2022  12:59:15.270584	5.574984E-1
7/09/2022  12:59:15.270594	1.870004E+0	7/09/2022  12:59:15.270604	5.811660E-1
7/09/2022  12:59:15.270614	1.912187E+0	7/09/2022  12:59:15.270624	6.085366E-1
7/09/2022  12:59:15.270634	1.951150E+0	7/09/2022  12:59:15.270644	6.413814E-1
7/09/2022  12:59:15.270654	1.997841E+0	7/09/2022  12:59:15.270664	6.768023E-1
7/09/2022  12:59:15.270674	2.043888E+0	7/09/2022  12:59:15.270684	7.152822E-1
7/09/2022  12:59:15.270694	2.091063E+0	7/09/2022  12:59:15.270704	7.561772E-1
7/09/2022  12:59:15.270714	2.136788E+0	7/09/2022  12:59:15.270724	7.985212E-1
7/09/2022  12:59:15.270734	2.185895E+0	7/09/2022  12:59:15.270744	8.423143E-1
7/09/2022  12:59:15.270754	2.232103E+0	7/09/2022  12:59:15.270764	8.875564E-1
7/09/2022  12:59:15.270774	2.282659E+0	7/09/2022  12:59:15.270784	9.337645E-1
7/09/2022  12:59:15.270794	2.334663E+0	7/09/2022  12:59:15.270804	9.807776E-1
7/09/2022  12:59:15.270814	2.383287E+0	7/09/2022  12:59:15.270824	1.027469E+0
7/09/2022  12:59:15.270834	2.434808E+0	7/09/2022  12:59:15.270844	1.074804E+0
7/09/2022  12:59:15.270854	2.482305E+0	7/09/2022  12:59:15.270864	1.122300E+0
7/09/2022  12:59:15.270874	2.530929E+0	7/09/2022  12:59:15.270884	1.170118E+0
7/09/2022  12:59:15.270894	2.581967E+0	7/09/2022  12:59:15.270904	1.217614E+0
7/09/2022  12:59:15.270914	2.630752E+0	7/09/2022  12:59:15.270924	1.265272E+0
7/09/2022  12:59:15.270934	2.677766E+0	7/09/2022  12:59:15.270944	1.312446E+0
7/09/2022  12:59:15.270954	2.729448E+0	7/09/2022  12:59:15.270964	1.359781E+0
7/09/2022  12:59:15.270974	2.777106E+0	7/09/2022  12:59:15.270984	1.406311E+0
7/09/2022  12:59:15.270994	2.824925E+0	7/09/2022  12:59:15.271004	1.453002E+0
7/09/2022  12:59:15.271014	2.871939E+0	7/09/2022  12:59:15.271024	1.499372E+0
7/09/2022  12:59:15.271034	2.919918E+0	7/09/2022  12:59:15.271044	1.545258E+0
7/09/2022  12:59:15.271054	2.966932E+0	7/09/2022  12:59:15.271064	1.591466E+0
7/09/2022  12:59:15.271074	3.013463E+0	7/09/2022  12:59:15.271084	1.636708E+0
7/09/2022  12:59:15.271094	3.057257E+0	7/09/2022  12:59:15.271104	1.681467E+0
7/09/2022  12:59:15.271114	3.106042E+0	7/09/2022  12:59:15.271124	1.726227E+0
7/09/2022  12:59:15.271134	3.147581E+0	7/09/2022  12:59:15.271144	1.770020E+0
7/09/2022  12:59:15.271154	3.194112E+0	7/09/2022  12:59:15.271164	1.813813E+0
7/09/2022  12:59:15.271174	3.235169E+0	7/09/2022  12:59:15.271184	1.856801E+0
7/09/2022  12:59:15.271194	3.280090E+0	7/09/2022  12:59:15.271204	1.899628E+0
7/09/2022  12:59:15.271214	3.324850E+0	7/09/2022  12:59:15.271224	1.942134E+0
7/09/2022  12:59:15.271234	3.366067E+0	7/09/2022  12:59:15.271244	1.983995E+0
7/09/2022  12:59:15.271254	3.406641E+0	7/09/2022  12:59:15.271264	2.024890E+0
