waveform	[0]		[1]	
t0	7/09/2022  13:03:43.738346		7/09/2022  13:03:43.738356	
delta t	2.000000E-5		2.000000E-5	

time[0]	Y[0]	time[1]	Y[1]
7/09/2022  13:03:43.738346	4.050029E+0	7/09/2022  13:03:43.738356	3.582461E+0
7/09/2022  13:03:43.738366	4.011065E+0	7/09/2022  13:03:43.738376	3.581334E+0
7/09/2022  13:03:43.738386	3.979507E+0	7/09/2022  13:03:43.738396	3.580046E+0
7/09/2022  13:03:43.738406	3.942153E+0	7/09/2022  13:03:43.738416	3.579241E+0
7/09/2022  13:03:43.738426	3.893690E+0	7/09/2022  13:03:43.738436	3.578114E+0
7/09/2022  13:03:43.738446	3.852632E+0	7/09/2022  13:03:43.738456	3.577148E+0
7/09/2022  13:03:43.738466	3.824617E+0	7/09/2022  13:03:43.738476	3.576021E+0
7/09/2022  13:03:43.738486	3.777120E+0	7/09/2022  13:03:43.738496	3.574733E+0
7/09/2022  13:03:43.738506	3.738478E+0	7/09/2022  13:03:43.738516	3.573606E+0
7/09/2022  13:03:43.738526	3.694201E+0	7/09/2022  13:03:43.738536	3.572640E+0
7/09/2022  13:03:43.738546	3.657491E+0	7/09/2022  13:03:43.738556	3.571996E+0
7/09/2022  13:03:43.738566	3.607256E+0	7/09/2022  13:03:43.738576	3.570225E+0
7/09/2022  13:03:43.738586	3.567810E+0	7/09/2022  13:03:43.738596	3.569420E+0
7/09/2022  13:03:43.738606	3.533032E+0	7/09/2022  13:03:43.738616	3.567971E+0
7/09/2022  13:03:43.738626	3.480866E+0	7/09/2022  13:03:43.738636	3.567327E+0
7/09/2022  13:03:43.738646	3.432724E+0	7/09/2022  13:03:43.738656	3.566199E+0
7/09/2022  13:03:43.738666	3.397464E+0	7/09/2022  13:03:43.738676	3.564911E+0
7/09/2022  13:03:43.738686	3.346747E+0	7/09/2022  13:03:43.738696	3.563784E+0
7/09/2022  13:03:43.738706	3.294419E+0	7/09/2022  13:03:43.738716	3.562496E+0
7/09/2022  13:03:43.738726	3.257227E+0	7/09/2022  13:03:43.738736	3.561530E+0
