waveform	[0]		[1]	
t0	7/09/2022  13:01:32.138871		7/09/2022  13:01:32.138881	
delta t	2.000000E-5		2.000000E-5	

time[0]	Y[0]	time[1]	Y[1]
7/09/2022  13:01:32.138871	4.319880E+0	7/09/2022  13:01:32.138881	3.320341E+0
7/09/2022  13:01:32.138891	4.357235E+0	7/09/2022  13:01:32.138901	3.318892E+0
7/09/2022  13:01:32.138911	4.382191E+0	7/09/2022  13:01:32.138921	3.317926E+0
7/09/2022  13:01:32.138931	4.408114E+0	7/09/2022  13:01:32.138941	3.317121E+0
7/09/2022  13:01:32.138951	4.427435E+0	7/09/2022  13:01:32.138961	3.317443E+0
7/09/2022  13:01:32.138971	4.456739E+0	7/09/2022  13:01:32.138981	3.317604E+0
7/09/2022  13:01:32.138991	4.478636E+0	7/09/2022  13:01:32.139001	3.318248E+0
7/09/2022  13:01:32.139011	4.501178E+0	7/09/2022  13:01:32.139021	3.319858E+0
7/09/2022  13:01:32.139031	4.515024E+0	7/09/2022  13:01:32.139041	3.322113E+0
7/09/2022  13:01:32.139051	4.537244E+0	7/09/2022  13:01:32.139061	3.324689E+0
7/09/2022  13:01:32.139071	4.553989E+0	7/09/2022  13:01:32.139081	3.328392E+0
7/09/2022  13:01:32.139091	4.573793E+0	7/09/2022  13:01:32.139101	3.332739E+0
7/09/2022  13:01:32.139111	4.588284E+0	7/09/2022  13:01:32.139121	3.337891E+0
7/09/2022  13:01:32.139131	4.600199E+0	7/09/2022  13:01:32.139141	3.343687E+0
7/09/2022  13:01:32.139151	4.616461E+0	7/09/2022  13:01:32.139161	3.350128E+0
7/09/2022  13:01:32.139171	4.630630E+0	7/09/2022  13:01:32.139181	3.357051E+0
7/09/2022  13:01:32.139191	4.652044E+0	7/09/2022  13:01:32.139201	3.365101E+0
7/09/2022  13:01:32.139211	4.664120E+0	7/09/2022  13:01:32.139221	3.372991E+0
7/09/2022  13:01:32.139231	4.673781E+0	7/09/2022  13:01:32.139241	3.381846E+0
7/09/2022  13:01:32.139251	4.686501E+0	7/09/2022  13:01:32.139261	3.391185E+0
7/09/2022  13:01:32.139271	4.704373E+0	7/09/2022  13:01:32.139281	3.400523E+0
7/09/2022  13:01:32.139291	4.713551E+0	7/09/2022  13:01:32.139301	3.410666E+0
7/09/2022  13:01:32.139311	4.728847E+0	7/09/2022  13:01:32.139321	3.420810E+0
7/09/2022  13:01:32.139331	4.737702E+0	7/09/2022  13:01:32.139341	3.431114E+0
7/09/2022  13:01:32.139351	4.754125E+0	7/09/2022  13:01:32.139361	3.441097E+0
7/09/2022  13:01:32.139371	4.763947E+0	7/09/2022  13:01:32.139381	3.451723E+0
7/09/2022  13:01:32.139391	4.774091E+0	7/09/2022  13:01:32.139401	3.462511E+0
7/09/2022  13:01:32.139411	4.784556E+0	7/09/2022  13:01:32.139421	3.472976E+0
7/09/2022  13:01:32.139431	4.797759E+0	7/09/2022  13:01:32.139441	3.483925E+0
7/09/2022  13:01:32.139451	4.805327E+0	7/09/2022  13:01:32.139461	3.493746E+0
7/09/2022  13:01:32.139471	4.813055E+0	7/09/2022  13:01:32.139481	3.504051E+0
7/09/2022  13:01:32.139491	4.823038E+0	7/09/2022  13:01:32.139501	3.514355E+0
7/09/2022  13:01:32.139511	4.832860E+0	7/09/2022  13:01:32.139521	3.524338E+0
7/09/2022  13:01:32.139531	4.844131E+0	7/09/2022  13:01:32.139541	3.533998E+0
7/09/2022  13:01:32.139551	4.848961E+0	7/09/2022  13:01:32.139561	3.543336E+0
7/09/2022  13:01:32.139571	4.857495E+0	7/09/2022  13:01:32.139581	3.552836E+0
7/09/2022  13:01:32.139591	4.862003E+0	7/09/2022  13:01:32.139601	3.561208E+0
7/09/2022  13:01:32.139611	4.865545E+0	7/09/2022  13:01:32.139621	3.570064E+0
7/09/2022  13:01:32.139631	4.874884E+0	7/09/2022  13:01:32.139641	3.578275E+0
7/09/2022  13:01:32.139651	4.879392E+0	7/09/2022  13:01:32.139661	3.586325E+0
7/09/2022  13:01:32.139671	4.883095E+0	7/09/2022  13:01:32.139681	3.593732E+0
7/09/2022  13:01:32.139691	4.885672E+0	7/09/2022  13:01:32.139701	3.600655E+0
7/09/2022  13:01:32.139711	4.887604E+0	7/09/2022  13:01:32.139721	3.607417E+0
7/09/2022  13:01:32.139731	4.890824E+0	7/09/2022  13:01:32.139741	3.613697E+0
7/09/2022  13:01:32.139751	4.892917E+0	7/09/2022  13:01:32.139761	3.619493E+0
7/09/2022  13:01:32.139771	4.889214E+0	7/09/2022  13:01:32.139781	3.624645E+0
7/09/2022  13:01:32.139791	4.892595E+0	7/09/2022  13:01:32.139801	3.630119E+0
7/09/2022  13:01:32.139811	4.888087E+0	7/09/2022  13:01:32.139821	3.634467E+0
7/09/2022  13:01:32.139831	4.889214E+0	7/09/2022  13:01:32.139841	3.638492E+0
7/09/2022  13:01:32.139851	4.882612E+0	7/09/2022  13:01:32.139861	3.642195E+0
7/09/2022  13:01:32.139871	4.879714E+0	7/09/2022  13:01:32.139881	3.645415E+0
7/09/2022  13:01:32.139891	4.881807E+0	7/09/2022  13:01:32.139901	3.648152E+0
7/09/2022  13:01:32.139911	4.875367E+0	7/09/2022  13:01:32.139921	3.650245E+0
7/09/2022  13:01:32.139931	4.868604E+0	7/09/2022  13:01:32.139941	3.652661E+0
7/09/2022  13:01:32.139951	4.860554E+0	7/09/2022  13:01:32.139961	3.654271E+0
7/09/2022  13:01:32.139971	4.857173E+0	7/09/2022  13:01:32.139981	3.655720E+0
7/09/2022  13:01:32.139991	4.841393E+0	7/09/2022  13:01:32.140001	3.656686E+0
7/09/2022  13:01:32.140011	4.832055E+0	7/09/2022  13:01:32.140021	3.657008E+0
7/09/2022  13:01:32.140031	4.825131E+0	7/09/2022  13:01:32.140041	3.657491E+0
7/09/2022  13:01:32.140051	4.808547E+0	7/09/2022  13:01:32.140061	3.657330E+0
7/09/2022  13:01:32.140071	4.799531E+0	7/09/2022  13:01:32.140081	3.657008E+0
7/09/2022  13:01:32.140091	4.784556E+0	7/09/2022  13:01:32.140101	3.656364E+0
7/09/2022  13:01:32.140111	4.776828E+0	7/09/2022  13:01:32.140121	3.655398E+0
7/09/2022  13:01:32.140131	4.758956E+0	7/09/2022  13:01:32.140141	3.654271E+0
7/09/2022  13:01:32.140151	4.741406E+0	7/09/2022  13:01:32.140161	3.653305E+0
7/09/2022  13:01:32.140171	4.724499E+0	7/09/2022  13:01:32.140181	3.651856E+0
7/09/2022  13:01:32.140191	4.705017E+0	7/09/2022  13:01:32.140201	3.650245E+0
7/09/2022  13:01:32.140211	4.691331E+0	7/09/2022  13:01:32.140221	3.648635E+0
7/09/2022  13:01:32.140231	4.671688E+0	7/09/2022  13:01:32.140241	3.646864E+0
7/09/2022  13:01:32.140251	4.651400E+0	7/09/2022  13:01:32.140261	3.644932E+0
7/09/2022  13:01:32.140271	4.623868E+0	7/09/2022  13:01:32.140281	3.642839E+0
7/09/2022  13:01:32.140291	4.600360E+0	7/09/2022  13:01:32.140301	3.640585E+0
7/09/2022  13:01:32.140311	4.583776E+0	7/09/2022  13:01:32.140321	3.638492E+0
7/09/2022  13:01:32.140331	4.556565E+0	7/09/2022  13:01:32.140341	3.636238E+0
7/09/2022  13:01:32.140351	4.536117E+0	7/09/2022  13:01:32.140361	3.634628E+0
