waveform	[0]		[1]	
t0	7/09/2022  14:01:22.142145		7/09/2022  14:01:22.142146	
delta t	2.000000E-6		2.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
7/09/2022  14:01:22.142145	-2.288580E+0	7/09/2022  14:01:22.142146	1.670326E+0
7/09/2022  14:01:22.142147	-2.338518E+0	7/09/2022  14:01:22.142148	1.619423E+0
7/09/2022  14:01:22.142149	-2.397477E+0	7/09/2022  14:01:22.142150	1.561109E+0
7/09/2022  14:01:22.142151	-2.450958E+0	7/09/2022  14:01:22.142152	1.507950E+0
7/09/2022  14:01:22.142153	-2.508951E+0	7/09/2022  14:01:22.142154	1.454469E+0
7/09/2022  14:01:22.142155	-2.561466E+0	7/09/2022  14:01:22.142156	1.397121E+0
7/09/2022  14:01:22.142157	-2.610115E+0	7/09/2022  14:01:22.142158	1.348151E+0
7/09/2022  14:01:22.142159	-2.665852E+0	7/09/2022  14:01:22.142160	1.295636E+0
7/09/2022  14:01:22.142161	-2.719978E+0	7/09/2022  14:01:22.142162	1.239255E+0
7/09/2022  14:01:22.142163	-2.773782E+0	7/09/2022  14:01:22.142164	1.184485E+0
7/09/2022  14:01:22.142165	-2.823398E+0	7/09/2022  14:01:22.142166	1.133581E+0
7/09/2022  14:01:22.142167	-2.872691E+0	7/09/2022  14:01:22.142168	1.083322E+0
7/09/2022  14:01:22.142169	-2.933905E+0	7/09/2022  14:01:22.142170	1.032418E+0
7/09/2022  14:01:22.142171	-2.983199E+0	7/09/2022  14:01:22.142172	9.831254E-1
7/09/2022  14:01:22.142173	-3.027982E+0	7/09/2022  14:01:22.142174	9.344769E-1
7/09/2022  14:01:22.142175	-3.078564E+0	7/09/2022  14:01:22.142176	8.793848E-1
7/09/2022  14:01:22.142177	-3.125602E+0	7/09/2022  14:01:22.142178	8.304141E-1
7/09/2022  14:01:22.142179	-3.174252E+0	7/09/2022  14:01:22.142180	7.804768E-1
7/09/2022  14:01:22.142181	-3.225801E+0	7/09/2022  14:01:22.142182	7.398827E-1
7/09/2022  14:01:22.142183	-3.268328E+0	7/09/2022  14:01:22.142184	6.905898E-1
7/09/2022  14:01:22.142185	-3.318589E+0	7/09/2022  14:01:22.142186	6.432299E-1
7/09/2022  14:01:22.142187	-3.367238E+0	7/09/2022  14:01:22.142188	5.968366E-1
7/09/2022  14:01:22.142189	-3.404933E+0	7/09/2022  14:01:22.142190	5.507655E-1
7/09/2022  14:01:22.142191	-3.461315E+0	7/09/2022  14:01:22.142192	5.069495E-1
7/09/2022  14:01:22.142193	-3.505131E+0	7/09/2022  14:01:22.142194	4.612006E-1
7/09/2022  14:01:22.142195	-3.550237E+0	7/09/2022  14:01:22.142196	4.157737E-1
7/09/2022  14:01:22.142197	-3.593087E+0	7/09/2022  14:01:22.142198	3.716356E-1
7/09/2022  14:01:22.142199	-3.633359E+0	7/09/2022  14:01:22.142200	3.249201E-1
7/09/2022  14:01:22.142201	-3.678465E+0	7/09/2022  14:01:22.142202	2.872255E-1
7/09/2022  14:01:22.142203	-3.723892E+0	7/09/2022  14:01:22.142204	2.385770E-1
7/09/2022  14:01:22.142205	-3.765454E+0	7/09/2022  14:01:22.142206	2.018489E-1
7/09/2022  14:01:22.142207	-3.806049E+0	7/09/2022  14:01:22.142208	1.612547E-1
7/09/2022  14:01:22.142209	-3.844388E+0	7/09/2022  14:01:22.142210	1.193718E-1
7/09/2022  14:01:22.142211	-3.885950E+0	7/09/2022  14:01:22.142212	7.974416E-2
7/09/2022  14:01:22.142213	-3.922034E+0	7/09/2022  14:01:22.142214	4.591567E-2
7/09/2022  14:01:22.142215	-3.962307E+0	7/09/2022  14:01:22.142216	5.321473E-3
7/09/2022  14:01:22.142217	-4.000324E+0	7/09/2022  14:01:22.142218	-3.559490E-2
7/09/2022  14:01:22.142219	-4.040919E+0	7/09/2022  14:01:22.142220	-7.457822E-2
7/09/2022  14:01:22.142221	-4.078292E+0	7/09/2022  14:01:22.142222	-1.113063E-1
7/09/2022  14:01:22.142223	-4.111477E+0	7/09/2022  14:01:22.142224	-1.496453E-1
7/09/2022  14:01:22.142225	-4.147884E+0	7/09/2022  14:01:22.142226	-1.841181E-1
7/09/2022  14:01:22.142227	-4.183968E+0	7/09/2022  14:01:22.142228	-2.208462E-1
7/09/2022  14:01:22.142229	-4.215542E+0	7/09/2022  14:01:22.142230	-2.511308E-1
7/09/2022  14:01:22.142231	-4.254526E+0	7/09/2022  14:01:22.142232	-2.804489E-1
7/09/2022  14:01:22.142233	-4.286100E+0	7/09/2022  14:01:22.142234	-3.191100E-1
7/09/2022  14:01:22.142235	-4.316707E+0	7/09/2022  14:01:22.142236	-3.474615E-1
7/09/2022  14:01:22.142237	-4.348603E+0	7/09/2022  14:01:22.142238	-3.771018E-1
7/09/2022  14:01:22.142239	-4.380822E+0	7/09/2022  14:01:22.142240	-4.167295E-1
7/09/2022  14:01:22.142241	-4.411751E+0	7/09/2022  14:01:22.142242	-4.447588E-1
7/09/2022  14:01:22.142243	-4.437526E+0	7/09/2022  14:01:22.142244	-4.653781E-1
7/09/2022  14:01:22.142245	-4.464267E+0	7/09/2022  14:01:22.142246	-4.972736E-1
7/09/2022  14:01:22.142247	-4.491975E+0	7/09/2022  14:01:22.142248	-5.243364E-1
7/09/2022  14:01:22.142249	-4.519360E+0	7/09/2022  14:01:22.142250	-5.404452E-1
7/09/2022  14:01:22.142251	-4.541269E+0	7/09/2022  14:01:22.142252	-5.629976E-1
7/09/2022  14:01:22.142253	-4.559311E+0	7/09/2022  14:01:22.142254	-5.832947E-1
7/09/2022  14:01:22.142255	-4.577676E+0	7/09/2022  14:01:22.142256	-5.971483E-1
7/09/2022  14:01:22.142257	-4.591530E+0	7/09/2022  14:01:22.142258	-6.110019E-1
7/09/2022  14:01:22.142259	-4.603450E+0	7/09/2022  14:01:22.142260	-6.206672E-1
7/09/2022  14:01:22.142261	-4.615049E+0	7/09/2022  14:01:22.142262	-6.283994E-1
7/09/2022  14:01:22.142263	-4.628581E+0	7/09/2022  14:01:22.142264	-6.390313E-1
7/09/2022  14:01:22.142265	-4.636313E+0	7/09/2022  14:01:22.142266	-6.464413E-1
7/09/2022  14:01:22.142267	-4.645012E+0	7/09/2022  14:01:22.142268	-6.522405E-1
7/09/2022  14:01:22.142269	-4.652100E+0	7/09/2022  14:01:22.142270	-6.580397E-1
7/09/2022  14:01:22.142271	-4.657899E+0	7/09/2022  14:01:22.142272	-6.638389E-1
7/09/2022  14:01:22.142273	-4.665632E+0	7/09/2022  14:01:22.142274	-6.683494E-1
7/09/2022  14:01:22.142275	-4.673364E+0	7/09/2022  14:01:22.142276	-6.731820E-1
7/09/2022  14:01:22.142277	-4.678841E+0	7/09/2022  14:01:22.142278	-6.767259E-1
7/09/2022  14:01:22.142279	-4.685607E+0	7/09/2022  14:01:22.142280	-6.789812E-1
7/09/2022  14:01:22.142281	-4.690762E+0	7/09/2022  14:01:22.142282	-6.828473E-1
7/09/2022  14:01:22.142283	-4.696561E+0	7/09/2022  14:01:22.142284	-6.860691E-1
