waveform	[0]		[1]	
t0	7/09/2022  15:00:39.097354		7/09/2022  15:00:39.097355	
delta t	2.000000E-6		2.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
7/09/2022  15:00:39.097354	-2.275871E+0	7/09/2022  15:00:39.097355	-5.278119E+0
7/09/2022  15:00:39.097356	-2.291006E+0	7/09/2022  15:00:39.097357	-5.278119E+0
7/09/2022  15:00:39.097358	-2.292455E+0	7/09/2022  15:00:39.097359	-5.278119E+0
7/09/2022  15:00:39.097360	-2.288913E+0	7/09/2022  15:00:39.097361	-5.278119E+0
7/09/2022  15:00:39.097362	-2.282634E+0	7/09/2022  15:00:39.097363	-5.278119E+0
7/09/2022  15:00:39.097364	-2.271685E+0	7/09/2022  15:00:39.097365	-5.278119E+0
7/09/2022  15:00:39.097366	-2.262347E+0	7/09/2022  15:00:39.097367	-5.278119E+0
7/09/2022  15:00:39.097368	-2.248017E+0	7/09/2022  15:00:39.097369	-5.278119E+0
7/09/2022  15:00:39.097370	-2.236586E+0	7/09/2022  15:00:39.097371	-5.278119E+0
7/09/2022  15:00:39.097372	-2.220646E+0	7/09/2022  15:00:39.097373	-5.278119E+0
7/09/2022  15:00:39.097374	-2.205028E+0	7/09/2022  15:00:39.097375	-5.278119E+0
7/09/2022  15:00:39.097376	-2.189088E+0	7/09/2022  15:00:39.097377	-5.278119E+0
7/09/2022  15:00:39.097378	-2.174115E+0	7/09/2022  15:00:39.097379	-5.278119E+0
7/09/2022  15:00:39.097380	-2.160268E+0	7/09/2022  15:00:39.097381	-5.278119E+0
7/09/2022  15:00:39.097382	-2.135956E+0	7/09/2022  15:00:39.097383	-5.278119E+0
7/09/2022  15:00:39.097384	-2.120982E+0	7/09/2022  15:00:39.097385	-5.278119E+0
7/09/2022  15:00:39.097386	-2.103271E+0	7/09/2022  15:00:39.097387	-5.278119E+0
7/09/2022  15:00:39.097388	-2.084273E+0	7/09/2022  15:00:39.097389	-5.278119E+0
7/09/2022  15:00:39.097390	-2.069138E+0	7/09/2022  15:00:39.097391	-5.278119E+0
7/09/2022  15:00:39.097392	-2.047080E+0	7/09/2022  15:00:39.097393	-5.278119E+0
7/09/2022  15:00:39.097394	-2.025827E+0	7/09/2022  15:00:39.097395	-5.278119E+0
7/09/2022  15:00:39.097396	-2.010048E+0	7/09/2022  15:00:39.097397	-5.278119E+0
7/09/2022  15:00:39.097398	-1.986863E+0	7/09/2022  15:00:39.097399	-5.278119E+0
7/09/2022  15:00:39.097400	-1.967703E+0	7/09/2022  15:00:39.097401	-5.278119E+0
7/09/2022  15:00:39.097402	-1.946611E+0	7/09/2022  15:00:39.097403	-5.278119E+0
7/09/2022  15:00:39.097404	-1.926164E+0	7/09/2022  15:00:39.097405	-5.278119E+0
7/09/2022  15:00:39.097406	-1.903462E+0	7/09/2022  15:00:39.097407	-5.278119E+0
7/09/2022  15:00:39.097408	-1.882370E+0	7/09/2022  15:00:39.097409	-5.278119E+0
7/09/2022  15:00:39.097410	-1.859024E+0	7/09/2022  15:00:39.097411	-5.278119E+0
7/09/2022  15:00:39.097412	-1.840347E+0	7/09/2022  15:00:39.097413	-5.278119E+0
7/09/2022  15:00:39.097414	-1.815069E+0	7/09/2022  15:00:39.097415	-5.278119E+0
7/09/2022  15:00:39.097416	-1.791401E+0	7/09/2022  15:00:39.097417	-5.278119E+0
7/09/2022  15:00:39.097418	-1.771919E+0	7/09/2022  15:00:39.097419	-5.278119E+0
7/09/2022  15:00:39.097420	-1.746802E+0	7/09/2022  15:00:39.097421	-5.278119E+0
7/09/2022  15:00:39.097422	-1.722973E+0	7/09/2022  15:00:39.097423	-5.278119E+0
7/09/2022  15:00:39.097424	-1.702042E+0	7/09/2022  15:00:39.097425	-5.278119E+0
7/09/2022  15:00:39.097426	-1.674993E+0	7/09/2022  15:00:39.097427	-5.278119E+0
7/09/2022  15:00:39.097428	-1.651647E+0	7/09/2022  15:00:39.097429	-5.278119E+0
7/09/2022  15:00:39.097430	-1.626208E+0	7/09/2022  15:00:39.097431	-5.278119E+0
7/09/2022  15:00:39.097432	-1.604634E+0	7/09/2022  15:00:39.097433	-5.278119E+0
7/09/2022  15:00:39.097434	-1.578229E+0	7/09/2022  15:00:39.097435	-5.278119E+0
7/09/2022  15:00:39.097436	-1.553756E+0	7/09/2022  15:00:39.097437	-5.278119E+0
7/09/2022  15:00:39.097438	-1.527673E+0	7/09/2022  15:00:39.097439	-5.278119E+0
7/09/2022  15:00:39.097440	-1.501107E+0	7/09/2022  15:00:39.097441	-5.278119E+0
7/09/2022  15:00:39.097442	-1.473736E+0	7/09/2022  15:00:39.097443	-5.278119E+0
7/09/2022  15:00:39.097444	-1.449907E+0	7/09/2022  15:00:39.097445	-5.278119E+0
7/09/2022  15:00:39.097446	-1.423502E+0	7/09/2022  15:00:39.097447	-5.278119E+0
7/09/2022  15:00:39.097448	-1.396453E+0	7/09/2022  15:00:39.097449	-5.278119E+0
7/09/2022  15:00:39.097450	-1.368438E+0	7/09/2022  15:00:39.097451	-5.278119E+0
7/09/2022  15:00:39.097452	-1.344770E+0	7/09/2022  15:00:39.097453	-5.278119E+0
7/09/2022  15:00:39.097454	-1.316755E+0	7/09/2022  15:00:39.097455	-5.278119E+0
7/09/2022  15:00:39.097456	-1.287774E+0	7/09/2022  15:00:39.097457	-5.278119E+0
7/09/2022  15:00:39.097458	-1.260403E+0	7/09/2022  15:00:39.097459	-5.278119E+0
7/09/2022  15:00:39.097460	-1.229973E+0	7/09/2022  15:00:39.097461	-5.278119E+0
7/09/2022  15:00:39.097462	-1.206305E+0	7/09/2022  15:00:39.097463	-5.278119E+0
7/09/2022  15:00:39.097464	-1.175875E+0	7/09/2022  15:00:39.097465	-5.278119E+0
7/09/2022  15:00:39.097466	-1.150758E+0	7/09/2022  15:00:39.097467	-5.278119E+0
7/09/2022  15:00:39.097468	-1.120006E+0	7/09/2022  15:00:39.097469	-5.278119E+0
7/09/2022  15:00:39.097470	-1.091669E+0	7/09/2022  15:00:39.097471	-5.278119E+0
7/09/2022  15:00:39.097472	-1.063816E+0	7/09/2022  15:00:39.097473	-5.278119E+0
7/09/2022  15:00:39.097474	-1.035801E+0	7/09/2022  15:00:39.097475	-5.278119E+0
7/09/2022  15:00:39.097476	-1.008108E+0	7/09/2022  15:00:39.097477	-5.278119E+0
7/09/2022  15:00:39.097478	-9.762287E-1	7/09/2022  15:00:39.097479	-5.278119E+0
7/09/2022  15:00:39.097480	-9.462818E-1	7/09/2022  15:00:39.097481	-5.278119E+0
7/09/2022  15:00:39.097482	-9.145638E-1	7/09/2022  15:00:39.097483	-5.278119E+0
7/09/2022  15:00:39.097484	-8.904130E-1	7/09/2022  15:00:39.097485	-5.278119E+0
7/09/2022  15:00:39.097486	-8.619151E-1	7/09/2022  15:00:39.097487	-5.278119E+0
7/09/2022  15:00:39.097488	-8.297142E-1	7/09/2022  15:00:39.097489	-5.278119E+0
7/09/2022  15:00:39.097490	-7.996063E-1	7/09/2022  15:00:39.097491	-5.278119E+0
7/09/2022  15:00:39.097492	-7.720744E-1	7/09/2022  15:00:39.097493	-5.278119E+0
7/09/2022  15:00:39.097494	-7.411615E-1	7/09/2022  15:00:39.097495	-5.278119E+0
7/09/2022  15:00:39.097496	-7.097656E-1	7/09/2022  15:00:39.097497	-5.278119E+0
7/09/2022  15:00:39.097498	-6.815898E-1	7/09/2022  15:00:39.097499	-5.278119E+0
7/09/2022  15:00:39.097500	-6.464907E-1	7/09/2022  15:00:39.097501	-5.278119E+0
7/09/2022  15:00:39.097502	-6.192809E-1	7/09/2022  15:00:39.097503	-5.278119E+0
7/09/2022  15:00:39.097504	-5.851480E-1	7/09/2022  15:00:39.097505	-5.278119E+0
7/09/2022  15:00:39.097506	-5.556841E-1	7/09/2022  15:00:39.097507	-5.278119E+0
7/09/2022  15:00:39.097508	-5.210682E-1	7/09/2022  15:00:39.097509	-5.278119E+0
7/09/2022  15:00:39.097510	-4.943414E-1	7/09/2022  15:00:39.097511	-5.278119E+0
7/09/2022  15:00:39.097512	-4.621405E-1	7/09/2022  15:00:39.097513	-5.278119E+0
7/09/2022  15:00:39.097514	-4.328377E-1	7/09/2022  15:00:39.097515	-5.278119E+0
7/09/2022  15:00:39.097516	-4.019249E-1	7/09/2022  15:00:39.097517	-5.278119E+0
7/09/2022  15:00:39.097518	-3.684359E-1	7/09/2022  15:00:39.097519	-5.278119E+0
7/09/2022  15:00:39.097520	-3.360741E-1	7/09/2022  15:00:39.097521	-5.278119E+0
7/09/2022  15:00:39.097522	-3.074153E-1	7/09/2022  15:00:39.097523	-5.278119E+0
7/09/2022  15:00:39.097524	-2.758585E-1	7/09/2022  15:00:39.097525	-5.278119E+0
7/09/2022  15:00:39.097526	-2.447846E-1	7/09/2022  15:00:39.097527	-5.278119E+0
7/09/2022  15:00:39.097528	-2.137108E-1	7/09/2022  15:00:39.097529	-5.278119E+0
7/09/2022  15:00:39.097530	-1.810270E-1	7/09/2022  15:00:39.097531	-5.278119E+0
7/09/2022  15:00:39.097532	-1.496311E-1	7/09/2022  15:00:39.097533	-5.278119E+0
7/09/2022  15:00:39.097534	-1.214554E-1	7/09/2022  15:00:39.097535	-5.278119E+0
7/09/2022  15:00:39.097536	-8.941559E-2	7/09/2022  15:00:39.097537	-5.278119E+0
7/09/2022  15:00:39.097538	-5.834179E-2	7/09/2022  15:00:39.097539	-5.278119E+0
7/09/2022  15:00:39.097540	-2.694599E-2	7/09/2022  15:00:39.097541	-5.278119E+0
7/09/2022  15:00:39.097542	1.873746E-3	7/09/2022  15:00:39.097543	-5.278119E+0
7/09/2022  15:00:39.097544	3.407456E-2	7/09/2022  15:00:39.097545	-5.278119E+0
7/09/2022  15:00:39.097546	6.740240E-2	7/09/2022  15:00:39.097547	-5.278119E+0
7/09/2022  15:00:39.097548	9.670513E-2	7/09/2022  15:00:39.097549	-5.278119E+0
7/09/2022  15:00:39.097550	1.276179E-1	7/09/2022  15:00:39.097551	-5.278119E+0
7/09/2022  15:00:39.097552	1.580477E-1	7/09/2022  15:00:39.097553	-5.278119E+0
7/09/2022  15:00:39.097554	1.920195E-1	7/09/2022  15:00:39.097555	-5.278119E+0
7/09/2022  15:00:39.097556	2.238983E-1	7/09/2022  15:00:39.097557	-5.278119E+0
7/09/2022  15:00:39.097558	2.530400E-1	7/09/2022  15:00:39.097559	-5.278119E+0
7/09/2022  15:00:39.097560	2.865288E-1	7/09/2022  15:00:39.097561	-5.278119E+0
7/09/2022  15:00:39.097562	3.143825E-1	7/09/2022  15:00:39.097563	-5.278119E+0
7/09/2022  15:00:39.097564	3.438462E-1	7/09/2022  15:00:39.097565	-5.278119E+0
7/09/2022  15:00:39.097566	3.778181E-1	7/09/2022  15:00:39.097567	-5.268941E+0
7/09/2022  15:00:39.097568	4.087308E-1	7/09/2022  15:00:39.097569	-5.235771E+0
7/09/2022  15:00:39.097570	4.409316E-1	7/09/2022  15:00:39.097571	-5.203728E+0
7/09/2022  15:00:39.097572	4.683023E-1	7/09/2022  15:00:39.097573	-5.173617E+0
7/09/2022  15:00:39.097574	5.001810E-1	7/09/2022  15:00:39.097575	-5.143668E+0
7/09/2022  15:00:39.097576	5.296447E-1	7/09/2022  15:00:39.097577	-5.111947E+0
7/09/2022  15:00:39.097578	5.623285E-1	7/09/2022  15:00:39.097579	-5.082320E+0
7/09/2022  15:00:39.097580	5.911482E-1	7/09/2022  15:00:39.097581	-5.051082E+0
7/09/2022  15:00:39.097582	6.219000E-1	7/09/2022  15:00:39.097583	-5.022099E+0
7/09/2022  15:00:39.097584	6.507197E-1	7/09/2022  15:00:39.097585	-4.992150E+0
7/09/2022  15:00:39.097586	6.798614E-1	7/09/2022  15:00:39.097587	-4.962683E+0
7/09/2022  15:00:39.097588	7.123841E-1	7/09/2022  15:00:39.097589	-4.935471E+0
7/09/2022  15:00:39.097590	7.397548E-1	7/09/2022  15:00:39.097591	-4.903590E+0
7/09/2022  15:00:39.097592	7.697015E-1	7/09/2022  15:00:39.097593	-4.875251E+0
7/09/2022  15:00:39.097594	7.996483E-1	7/09/2022  15:00:39.097595	-4.845301E+0
7/09/2022  15:00:39.097596	8.241208E-1	7/09/2022  15:00:39.097597	-4.817123E+0
7/09/2022  15:00:39.097598	8.588977E-1	7/09/2022  15:00:39.097599	-4.785081E+0
7/09/2022  15:00:39.097600	8.885224E-1	7/09/2022  15:00:39.097601	-4.760928E+0
7/09/2022  15:00:39.097602	9.146050E-1	7/09/2022  15:00:39.097603	-4.728886E+0
7/09/2022  15:00:39.097604	9.443907E-1	7/09/2022  15:00:39.097605	-4.699098E+0
7/09/2022  15:00:39.097606	9.696684E-1	7/09/2022  15:00:39.097607	-4.672691E+0
7/09/2022  15:00:39.097608	1.001386E+0	7/09/2022  15:00:39.097609	-4.641293E+0
7/09/2022  15:00:39.097610	1.027791E+0	7/09/2022  15:00:39.097611	-4.615531E+0
7/09/2022  15:00:39.097612	1.056932E+0	7/09/2022  15:00:39.097613	-4.587353E+0
7/09/2022  15:00:39.097614	1.085108E+0	7/09/2022  15:00:39.097615	-4.561268E+0
7/09/2022  15:00:39.097616	1.111674E+0	7/09/2022  15:00:39.097617	-4.535989E+0
7/09/2022  15:00:39.097618	1.139045E+0	7/09/2022  15:00:39.097619	-4.507006E+0
7/09/2022  15:00:39.097620	1.169474E+0	7/09/2022  15:00:39.097621	-4.476574E+0
7/09/2022  15:00:39.097622	1.194430E+0	7/09/2022  15:00:39.097623	-4.450650E+0
7/09/2022  15:00:39.097624	1.219063E+0	7/09/2022  15:00:39.097625	-4.425210E+0
7/09/2022  15:00:39.097626	1.247883E+0	7/09/2022  15:00:39.097627	-4.398642E+0
7/09/2022  15:00:39.097628	1.272517E+0	7/09/2022  15:00:39.097629	-4.374007E+0
7/09/2022  15:00:39.097630	1.300693E+0	7/09/2022  15:00:39.097631	-4.347440E+0
7/09/2022  15:00:39.097632	1.326292E+0	7/09/2022  15:00:39.097633	-4.318618E+0
7/09/2022  15:00:39.097634	1.350121E+0	7/09/2022  15:00:39.097635	-4.293661E+0
7/09/2022  15:00:39.097636	1.375398E+0	7/09/2022  15:00:39.097637	-4.268864E+0
7/09/2022  15:00:39.097638	1.401803E+0	7/09/2022  15:00:39.097639	-4.245034E+0
7/09/2022  15:00:39.097640	1.424988E+0	7/09/2022  15:00:39.097641	-4.220721E+0
7/09/2022  15:00:39.097642	1.449460E+0	7/09/2022  15:00:39.097643	-4.195120E+0
