14/09/2022	12:26 PM
Base current (µA): 15.0
Collector Voltage (V),Collector Current (A)
0.00275856	-0.00000740
0.05410590	0.00001037
0.09967702	0.00016858
0.14809902	0.00106709
0.19602863	0.00231967
0.24759927	0.00244279
0.29614887	0.00238702
0.34432241	0.00241230
0.39732960	0.00243653
0.44142159	0.00245931
0.49668674	0.00248215
0.54781331	0.00250309
0.59674185	0.00239995
0.63975238	0.00241558
0.69012908	0.00242976
0.75063358	0.00245259
0.80128192	0.00247218
0.84529817	0.00249098
0.90060133	0.00251105
0.94935391	0.00253355

Base current (µA): 30.0
Collector Voltage (V),Collector Current (A)
0.00275856	-0.00000604
0.05410590	0.00004338
0.09967702	0.00034907
0.14809902	0.00155652
0.19602863	0.00375939
0.24759927	0.00497099
0.29614887	0.00503196
0.34432241	0.00507635
0.39732960	0.00511923
0.44142159	0.00497074
0.49668674	0.00500787
0.54781331	0.00504024
0.59674185	0.00506608
0.63975238	0.00509278
0.69012908	0.00511449
0.75063358	0.00515349
0.80128192	0.00517994
0.84529817	0.00499150
0.90060133	0.00501637
0.94935391	0.00506181

Base current (µA): 45.0
Collector Voltage (V),Collector Current (A)
0.00275856	-0.00000527
0.05410590	0.00008089
0.09967702	0.00050142
0.14809902	0.00185361
0.19602863	0.00435659
0.24759927	0.00679927
0.29614887	0.00737688
0.34432241	0.00747165
0.39732960	0.00753185
0.44142159	0.00757918
0.49668674	0.00762724
0.54781331	0.00767060
0.59674185	0.00770218
0.63975238	0.00751468
0.69012908	0.00754398
0.75063358	0.00758355
0.80128192	0.00762761
0.84529817	0.00766466
0.90060133	0.00771146
0.94935391	0.00776519

Base current (µA): 60.0
Collector Voltage (V),Collector Current (A)
0.00275856	-0.00000363
0.05410590	0.00012286
0.09967702	0.00061156
0.14809902	0.00204184
0.19602863	0.00475258
0.24759927	0.00779607
0.29614887	0.00938289
0.34432241	0.00976009
0.39732960	0.00993120
0.44142159	0.01003436
0.49668674	0.01011547
0.54781331	0.01017762
0.59674185	0.01021697
0.63975238	0.01025473
0.69012908	0.01005891
0.75063358	0.01010523
0.80128192	0.01016043
0.84529817	0.01020544
0.90060133	0.01028644
0.94935391	0.01033951

Base current (µA): 75.0
Collector Voltage (V),Collector Current (A)
0.00275856	-0.00000001
0.05410590	0.00016600
0.09967702	0.00071684
0.14809902	0.00221199
0.19602863	0.00500059
0.24759927	0.00826849
0.29614887	0.01041076
0.34432241	0.01132001
0.39732960	0.01185827
0.44142159	0.01209369
0.49668674	0.01228988
0.54781331	0.01219392
0.59674185	0.01227232
0.63975238	0.01233347
0.69012908	0.01242038
0.75063358	0.01249188
0.80128192	0.01255923
0.84529817	0.01261891
0.90060133	0.01272284
0.94935391	0.01278832
