Date	14/09/2022
Time	2:14 PM
Y_Unit_Label	Measurement (V)
X_Dimension	Supply+ (V)
***End_of_Header***
X_Values	Y_Values

0.000000	2.678759E-6
0.010020	-1.982149E-6
0.020040	-3.020740E-6
0.030060	-3.679846E-6
0.040080	-3.855971E-6
0.050100	-3.794236E-6
0.060120	-6.299928E-6
0.070140	-6.757489E-6
0.080160	-6.454264E-6
0.090180	-6.076594E-6
0.100200	-5.960388E-6
0.110220	-6.488762E-6
0.120240	-5.944047E-6
0.130261	-6.436107E-6
0.140281	-6.278139E-6
0.150301	-6.031201E-6
0.160321	-6.096567E-6
0.170341	-6.258166E-6
0.180361	-5.905917E-6
0.190381	-6.054806E-6
0.200401	-6.022123E-6
0.210421	-6.098383E-6
0.220441	-6.111093E-6
0.230461	-5.971283E-6
0.240481	-5.753396E-6
0.250501	-6.151039E-6
0.260521	-5.885944E-6
0.270541	-6.287218E-6
0.280561	-6.051174E-6
0.290581	-5.891391E-6
0.300601	-5.648085E-6
0.310621	-6.043911E-6
0.320641	-4.331689E-6
0.330661	-2.052962E-6
0.340681	-1.980333E-6
0.350701	2.293868E-6
0.360721	9.504087E-6
0.370741	2.101393E-5
0.380762	2.100122E-5
0.390782	4.107762E-5
0.400802	7.520949E-5
0.410822	0.000132
0.420842	0.000132
0.430862	0.000230
0.440882	0.000395
0.450902	0.000395
0.460922	0.000668
0.470942	0.001123
0.480962	0.001902
0.490982	0.001903
0.501002	0.003202
0.511022	0.005389
0.521042	0.008566
0.531062	0.008603
0.541082	0.014247
0.551102	0.023050
0.561122	0.022973
0.571142	0.036582
0.581162	0.057240
0.591182	0.086479
0.601202	0.087055
0.611222	0.126765
0.621242	0.179107
0.631263	0.243717
0.641283	0.244141
0.651303	0.319552
0.661323	0.406586
0.671343	0.406799
0.681363	0.502389
0.691383	0.607515
0.701403	0.718434
0.711423	0.719894
0.721443	0.837723
0.731463	0.961535
0.741483	1.080809
0.751503	1.080539
0.761523	1.211525
0.771543	1.344571
0.781563	1.483188
0.791583	1.484142
0.801603	1.622174
0.811623	1.761499
0.821643	1.762818
0.831663	1.902559
0.841683	2.044308
0.851703	2.184757
0.861723	2.186098
0.871743	2.330410
0.881764	2.472908
0.891784	2.615197
0.901804	2.617919
0.911824	2.759641
0.921844	2.902851
0.931864	2.903850
0.941884	3.046396
0.951904	3.189459
0.961924	3.319819
0.971944	3.319864
0.981964	3.460375
0.991984	3.598511
1.002004	3.738337
1.012024	3.737945
1.022044	3.875233
1.032064	4.011068
1.042084	4.011847
1.052104	4.144619
1.062124	4.275212
1.072144	4.398104
1.082164	4.398414
1.092184	4.491568
1.102204	4.549237
1.112224	4.587881
1.122244	4.587629
1.132265	4.614881
1.142285	4.634508
1.152305	4.634427
1.162325	4.649758
1.172345	4.661925
1.182365	4.671093
1.192385	4.671115
1.202405	4.679577
1.212425	4.686901
1.222445	4.693382
1.232465	4.693373
1.242485	4.699088
1.252505	4.704158
1.262525	4.708836
1.272545	4.708848
1.282565	4.713056
1.292585	4.716929
1.302605	4.716929
1.312625	4.720616
1.322645	4.723891
1.332665	4.727005
1.342685	4.726960
1.352705	4.729931
1.362725	4.732729
1.372745	4.735306
1.382766	4.735229
1.392786	4.737748
1.402806	4.739941
1.412826	4.739942
1.422846	4.742222
1.432866	4.744371
1.442886	4.746340
1.452906	4.746333
1.462926	4.748341
1.472946	4.750296
1.482966	4.752056
1.492986	4.752071
1.503006	4.753730
1.513026	4.755400
1.523046	4.755386
1.533066	4.757055
1.543086	4.758615
1.553106	4.760080
1.563126	4.760058
1.573146	4.761571
1.583166	4.762905
1.593186	4.764360
1.603206	4.764306
1.613226	4.765681
1.623246	4.766754
1.633267	4.767969
1.643287	4.767953
1.653307	4.769140
1.663327	4.770258
1.673347	4.770202
1.683367	4.771220
1.693387	4.772389
1.703407	4.773376
1.713427	4.773437
1.723447	4.774484
1.733467	4.775590
1.743487	4.776449
1.753507	4.776326
1.763527	4.777344
1.773547	4.778275
1.783567	4.778299
