Date	14/09/2022
Time	2:19 PM
Y_Unit_Label	Measurement (V)
X_Dimension	Supply+ (V)
***End_of_Header***
X_Values	Y_Values

0.000000	2.192188E-6
0.010020	-4.478668E-7
0.020040	-9.635308E-7
0.030060	-9.417422E-7
0.040080	-5.568099E-7
0.050100	-8.146419E-7
0.060120	-8.745606E-7
0.070140	-8.364305E-7
0.080160	-4.605768E-7
0.090180	-8.164576E-7
0.100200	-9.671623E-7
0.110220	-6.820944E-7
0.120240	-8.346148E-7
0.130261	-9.017964E-7
0.140281	-8.854549E-7
0.150301	-5.495470E-7
0.160321	-9.399265E-7
0.170341	-7.837747E-7
0.180361	-6.385172E-7
0.190381	-8.164576E-7
0.200401	-1.230441E-6
0.210421	-1.059764E-6
0.220441	-1.185048E-6
0.230461	-7.819590E-7
0.240481	-1.317596E-6
0.250501	-1.136024E-6
0.260521	-8.763763E-7
0.270541	-1.303070E-6
0.280561	-1.018002E-6
0.290581	-1.050685E-6
0.300601	-1.179601E-6
0.310621	-1.092447E-6
0.320641	6.560901E-7
0.330661	3.635684E-6
0.340681	3.504953E-6
0.350701	7.904439E-6
0.360721	1.354951E-5
0.370741	2.187095E-5
0.380762	2.174748E-5
0.390782	3.396363E-5
0.400802	5.105499E-5
0.410822	7.606288E-5
0.420842	7.638971E-5
0.430862	0.000114
0.440882	0.000169
0.450902	0.000169
0.460922	0.000249
0.470942	0.000369
0.480962	0.000545
0.490982	0.000542
0.501002	0.000804
0.511022	0.001193
0.521042	0.001702
0.531062	0.001704
0.541082	0.002504
0.551102	0.003644
0.561122	0.003638
0.571142	0.005271
0.581162	0.007510
0.591182	0.010501
0.601202	0.010514
0.611222	0.014348
0.621242	0.019075
0.631263	0.024745
0.641283	0.024813
0.651303	0.031252
0.661323	0.038457
0.671343	0.038491
0.681363	0.046492
0.691383	0.054987
0.701403	0.064055
0.711423	0.064055
0.721443	0.073582
0.731463	0.083407
0.741483	0.092893
0.751503	0.092958
0.761523	0.103523
0.771543	0.114356
0.781563	0.125537
0.791583	0.125546
0.801603	0.136756
0.811623	0.148164
0.821643	0.148266
0.831663	0.159752
0.841683	0.171446
0.851703	0.183107
0.861723	0.183113
0.871743	0.195047
0.881764	0.206946
0.891784	0.218913
0.901804	0.219150
0.911824	0.231011
0.921844	0.243237
0.931864	0.243359
0.941884	0.255541
0.951904	0.267674
0.961924	0.279040
0.971944	0.279208
0.981964	0.291582
0.991984	0.303965
1.002004	0.316313
1.012024	0.316502
1.022044	0.328901
1.032064	0.341463
1.042084	0.341481
1.052104	0.353953
1.062124	0.366564
1.072144	0.379179
1.082164	0.379167
1.092184	0.391855
1.102204	0.404630
1.112224	0.417767
1.122244	0.417792
1.132265	0.430904
1.142285	0.444082
1.152305	0.444108
1.162325	0.457249
1.172345	0.470728
1.182365	0.482874
1.192385	0.482962
1.202405	0.496276
1.212425	0.509917
1.222445	0.523260
1.232465	0.523209
1.242485	0.536660
1.252505	0.550229
1.262525	0.563558
1.272545	0.563477
1.282565	0.577001
1.292585	0.590384
1.302605	0.590250
