Date	14/09/2022
Time	2:11 PM
Y_Unit_Label	Measurement (V)
X_Dimension	Supply+ (V)
***End_of_Header***
X_Values	Y_Values

0.000000	4.977985
0.010020	4.977971
0.020040	4.977943
0.030060	4.977991
0.040080	4.978002
0.050100	4.977965
0.060120	4.978046
0.070140	4.977999
0.080160	4.977990
0.090180	4.977983
0.100200	4.978040
0.110220	4.978041
0.120240	4.977978
0.130261	4.978044
0.140281	4.978039
0.150301	4.977957
0.160321	4.977871
0.170341	4.977956
0.180361	4.978015
0.190381	4.977978
0.200401	4.977958
0.210421	4.977981
0.220441	4.977937
0.230461	4.977914
0.240481	4.977932
0.250501	4.977846
0.260521	4.977814
0.270541	4.977831
0.280561	4.977852
0.290581	4.977848
0.300601	4.977904
0.310621	4.977864
0.320641	4.977909
0.330661	4.977915
0.340681	4.977958
0.350701	4.977943
0.360721	4.977940
0.370741	4.977866
0.380762	4.977899
0.390782	4.977922
0.400802	4.977812
0.410822	4.977748
0.420842	4.977778
0.430862	4.977669
0.440882	4.977570
0.450902	4.977565
0.460922	4.977307
0.470942	4.976847
0.480962	4.976071
0.490982	4.975979
0.501002	4.974755
0.511022	4.972623
0.521042	4.969305
0.531062	4.969435
0.541082	4.964067
0.551102	4.955160
0.561122	4.955226
0.571142	4.941770
0.581162	4.921591
0.591182	4.892512
0.601202	4.892139
0.611222	4.852219
0.621242	4.800985
0.631263	4.736433
0.641283	4.736699
0.651303	4.660710
0.661323	4.574664
0.671343	4.574537
0.681363	4.477363
0.691383	4.372654
0.701403	4.261609
0.711423	4.262103
0.721443	4.144536
0.731463	4.020636
0.741483	3.904008
0.751503	3.904045
0.761523	3.772170
0.771543	3.640029
0.781563	3.503298
0.791583	3.501444
0.801603	3.362799
0.811623	3.223309
0.821643	3.222983
0.831663	3.082861
0.841683	2.941306
0.851703	2.799145
0.861723	2.798821
0.871743	2.655819
0.881764	2.513644
0.891784	2.370483
0.901804	2.368310
0.911824	2.226231
0.921844	2.083386
0.931864	2.082801
0.941884	1.938895
0.951904	1.798482
0.961924	1.667626
0.971944	1.667582
0.981964	1.526467
0.991984	1.385861
1.002004	1.245534
1.012024	1.245436
1.022044	1.108051
1.032064	0.971089
1.042084	0.971363
1.052104	0.837840
1.062124	0.705682
1.072144	0.584328
1.082164	0.583098
1.092184	0.487211
1.102204	0.428078
1.112224	0.388931
1.122244	0.389065
1.132265	0.361568
1.142285	0.341467
1.152305	0.341468
1.162325	0.325983
1.172345	0.313704
1.182365	0.304702
1.192385	0.304622
1.202405	0.296024
1.212425	0.288635
1.222445	0.282235
1.232465	0.282203
1.242485	0.276456
1.252505	0.271358
1.262525	0.266755
1.272545	0.266716
1.282565	0.262499
1.292585	0.258609
1.302605	0.258619
1.312625	0.254988
1.322645	0.251647
1.332665	0.248506
1.342685	0.248490
1.352705	0.245597
1.362725	0.242848
1.372745	0.240278
1.382766	0.240255
1.392786	0.237795
1.402806	0.235586
1.412826	0.235591
1.422846	0.233299
1.432866	0.231144
1.442886	0.229083
1.452906	0.229073
1.462926	0.227108
1.472946	0.225220
1.482966	0.223427
1.492986	0.223432
1.503006	0.221683
1.513026	0.220020
1.523046	0.220014
1.533066	0.218410
1.543086	0.216862
1.553106	0.215369
1.563126	0.215360
1.573146	0.213925
1.583166	0.212539
1.593186	0.211185
1.603206	0.211183
1.613226	0.209860
1.623246	0.208730
1.633267	0.207522
1.643287	0.207525
1.653307	0.206362
1.663327	0.205235
1.673347	0.205236
1.683367	0.204132
1.693387	0.203066
1.703407	0.202035
1.713427	0.202030
1.723447	0.201008
1.733467	0.200016
1.743487	0.199035
1.753507	0.199036
1.763527	0.198089
1.773547	0.197161
1.783567	0.197155
1.793587	0.196252
1.803607	0.195365
1.813627	0.194489
1.823647	0.194488
1.833667	0.193630
1.843687	0.192848
1.853707	0.192019
1.863727	0.192012
1.873747	0.191205
1.883768	0.190403
1.893788	0.190412
1.903808	0.189623
1.913828	0.188855
1.923848	0.188093
1.933868	0.188084
1.943888	0.187348
1.953908	0.186618
1.963928	0.185905
1.973948	0.185904
1.983968	0.185195
1.993988	0.184508
2.004008	0.183820
2.014028	0.183823
2.024048	0.183152
2.034068	0.182490
2.044088	0.182477
2.054108	0.181834
2.064128	0.181255
2.074148	0.180634
2.084168	0.180636
2.094188	0.180023
2.104208	0.179420
2.114228	0.178826
2.124248	0.178829
2.134269	0.178252
2.144289	0.177673
2.154309	0.177666
