waveform	[0]		[1]	
t0	21/09/2022  14:18:35.669513		21/09/2022  14:18:35.669515	
delta t	4.000000E-6		4.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
21/09/2022  14:18:35.669513	1.529284E+0	21/09/2022  14:18:35.669515	7.808394E-1
21/09/2022  14:18:35.669517	1.540558E+0	21/09/2022  14:18:35.669519	8.093470E-1
21/09/2022  14:18:35.669521	1.553282E+0	21/09/2022  14:18:35.669523	8.373713E-1
21/09/2022  14:18:35.669525	1.564878E+0	21/09/2022  14:18:35.669527	8.660399E-1
21/09/2022  14:18:35.669529	1.576797E+0	21/09/2022  14:18:35.669531	8.927758E-1
21/09/2022  14:18:35.669533	1.588232E+0	21/09/2022  14:18:35.669535	9.201560E-1
21/09/2022  14:18:35.669537	1.600956E+0	21/09/2022  14:18:35.669539	9.491467E-1
21/09/2022  14:18:35.669541	1.612069E+0	21/09/2022  14:18:35.669543	9.786206E-1
21/09/2022  14:18:35.669545	1.624793E+0	21/09/2022  14:18:35.669547	1.008739E+0
21/09/2022  14:18:35.669549	1.635261E+0	21/09/2022  14:18:35.669551	1.038052E+0
21/09/2022  14:18:35.669553	1.648468E+0	21/09/2022  14:18:35.669555	1.067526E+0
21/09/2022  14:18:35.669557	1.662320E+0	21/09/2022  14:18:35.669559	1.098127E+0
21/09/2022  14:18:35.669561	1.672788E+0	21/09/2022  14:18:35.669563	1.128245E+0
21/09/2022  14:18:35.669565	1.683902E+0	21/09/2022  14:18:35.669567	1.159007E+0
21/09/2022  14:18:35.669569	1.697753E+0	21/09/2022  14:18:35.669571	1.189770E+0
21/09/2022  14:18:35.669573	1.708222E+0	21/09/2022  14:18:35.669575	1.221176E+0
21/09/2022  14:18:35.669577	1.722717E+0	21/09/2022  14:18:35.669579	1.253227E+0
21/09/2022  14:18:35.669581	1.734474E+0	21/09/2022  14:18:35.669583	1.285761E+0
21/09/2022  14:18:35.669585	1.747359E+0	21/09/2022  14:18:35.669587	1.317973E+0
21/09/2022  14:18:35.669589	1.759278E+0	21/09/2022  14:18:35.669591	1.350830E+0
21/09/2022  14:18:35.669593	1.772807E+0	21/09/2022  14:18:35.669595	1.384652E+0
21/09/2022  14:18:35.669597	1.782792E+0	21/09/2022  14:18:35.669599	1.418636E+0
21/09/2022  14:18:35.669601	1.796322E+0	21/09/2022  14:18:35.669603	1.452297E+0
21/09/2022  14:18:35.669605	1.808562E+0	21/09/2022  14:18:35.669607	1.486603E+0
21/09/2022  14:18:35.669609	1.821286E+0	21/09/2022  14:18:35.669611	1.521392E+0
21/09/2022  14:18:35.669613	1.834493E+0	21/09/2022  14:18:35.669615	1.556825E+0
21/09/2022  14:18:35.669617	1.846572E+0	21/09/2022  14:18:35.669619	1.592419E+0
21/09/2022  14:18:35.669621	1.859940E+0	21/09/2022  14:18:35.669623	1.628658E+0
21/09/2022  14:18:35.669625	1.871054E+0	21/09/2022  14:18:35.669627	1.665058E+0
21/09/2022  14:18:35.669629	1.882811E+0	21/09/2022  14:18:35.669631	1.700974E+0
21/09/2022  14:18:35.669633	1.897306E+0	21/09/2022  14:18:35.669635	1.738340E+0
21/09/2022  14:18:35.669637	1.908258E+0	21/09/2022  14:18:35.669639	1.775223E+0
21/09/2022  14:18:35.669641	1.920821E+0	21/09/2022  14:18:35.669643	1.810978E+0
21/09/2022  14:18:35.669645	1.934994E+0	21/09/2022  14:18:35.669647	1.847056E+0
21/09/2022  14:18:35.669649	1.945947E+0	21/09/2022  14:18:35.669651	1.884099E+0
21/09/2022  14:18:35.669653	1.958670E+0	21/09/2022  14:18:35.669655	1.921465E+0
21/09/2022  14:18:35.669657	1.971072E+0	21/09/2022  14:18:35.669659	1.959637E+0
21/09/2022  14:18:35.669661	1.984923E+0	21/09/2022  14:18:35.669663	1.997486E+0
21/09/2022  14:18:35.669665	1.997486E+0	21/09/2022  14:18:35.669667	2.035818E+0
21/09/2022  14:18:35.669669	2.009565E+0	21/09/2022  14:18:35.669671	2.074795E+0
21/09/2022  14:18:35.669673	2.021484E+0	21/09/2022  14:18:35.669675	2.114255E+0
21/09/2022  14:18:35.669677	2.031792E+0	21/09/2022  14:18:35.669679	2.153876E+0
21/09/2022  14:18:35.669681	2.047576E+0	21/09/2022  14:18:35.669683	2.193013E+0
21/09/2022  14:18:35.669685	2.060622E+0	21/09/2022  14:18:35.669687	2.232312E+0
21/09/2022  14:18:35.669689	2.072701E+0	21/09/2022  14:18:35.669691	2.271933E+0
21/09/2022  14:18:35.669693	2.082687E+0	21/09/2022  14:18:35.669695	2.312198E+0
21/09/2022  14:18:35.669697	2.096055E+0	21/09/2022  14:18:35.669699	2.352303E+0
21/09/2022  14:18:35.669701	2.109745E+0	21/09/2022  14:18:35.669703	2.392085E+0
21/09/2022  14:18:35.669705	2.121341E+0	21/09/2022  14:18:35.669707	2.432672E+0
21/09/2022  14:18:35.669709	2.133260E+0	21/09/2022  14:18:35.669711	2.472937E+0
21/09/2022  14:18:35.669713	2.144212E+0	21/09/2022  14:18:35.669715	2.514330E+0
21/09/2022  14:18:35.669717	2.155003E+0	21/09/2022  14:18:35.669719	2.554756E+0
21/09/2022  14:18:35.669721	2.170787E+0	21/09/2022  14:18:35.669723	2.595183E+0
21/09/2022  14:18:35.669725	2.181578E+0	21/09/2022  14:18:35.669727	2.635609E+0
21/09/2022  14:18:35.669729	2.191886E+0	21/09/2022  14:18:35.669731	2.676197E+0
21/09/2022  14:18:35.669733	2.204932E+0	21/09/2022  14:18:35.669735	2.717106E+0
21/09/2022  14:18:35.669737	2.217011E+0	21/09/2022  14:18:35.669739	2.757694E+0
21/09/2022  14:18:35.669741	2.229896E+0	21/09/2022  14:18:35.669743	2.798443E+0
21/09/2022  14:18:35.669745	2.240526E+0	21/09/2022  14:18:35.669747	2.838869E+0
21/09/2022  14:18:35.669749	2.252928E+0	21/09/2022  14:18:35.669751	2.879940E+0
21/09/2022  14:18:35.669753	2.265330E+0	21/09/2022  14:18:35.669755	2.921333E+0
21/09/2022  14:18:35.669757	2.275638E+0	21/09/2022  14:18:35.669759	2.961437E+0
21/09/2022  14:18:35.669761	2.285462E+0	21/09/2022  14:18:35.669763	3.001220E+0
21/09/2022  14:18:35.669765	2.300280E+0	21/09/2022  14:18:35.669767	3.041002E+0
21/09/2022  14:18:35.669769	2.313165E+0	21/09/2022  14:18:35.669771	3.082073E+0
21/09/2022  14:18:35.669773	2.321379E+0	21/09/2022  14:18:35.669775	3.122016E+0
21/09/2022  14:18:35.669777	2.333781E+0	21/09/2022  14:18:35.669779	3.162443E+0
21/09/2022  14:18:35.669781	2.343766E+0	21/09/2022  14:18:35.669783	3.202870E+0
21/09/2022  14:18:35.669785	2.357618E+0	21/09/2022  14:18:35.669787	3.243297E+0
21/09/2022  14:18:35.669789	2.369053E+0	21/09/2022  14:18:35.669791	3.283240E+0
21/09/2022  14:18:35.669793	2.377428E+0	21/09/2022  14:18:35.669795	3.322701E+0
21/09/2022  14:18:35.669797	2.392407E+0	21/09/2022  14:18:35.669799	3.362322E+0
21/09/2022  14:18:35.669801	2.402232E+0	21/09/2022  14:18:35.669803	3.402105E+0
