waveform	[0]		[1]	
t0	21/09/2022  14:31:09.950887		21/09/2022  14:31:09.950889	
delta t	4.000000E-6		4.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
21/09/2022  14:31:09.950887	2.638992E+0	21/09/2022  14:31:09.950889	9.601394E-2
21/09/2022  14:31:09.950891	2.629650E+0	21/09/2022  14:31:09.950893	9.698030E-2
21/09/2022  14:31:09.950895	2.622080E+0	21/09/2022  14:31:09.950897	9.794665E-2
21/09/2022  14:31:09.950899	2.614510E+0	21/09/2022  14:31:09.950901	9.859089E-2
21/09/2022  14:31:09.950903	2.605974E+0	21/09/2022  14:31:09.950905	9.939619E-2
21/09/2022  14:31:09.950907	2.595827E+0	21/09/2022  14:31:09.950909	9.907407E-2
21/09/2022  14:31:09.950911	2.583909E+0	21/09/2022  14:31:09.950913	9.923513E-2
21/09/2022  14:31:09.950915	2.576339E+0	21/09/2022  14:31:09.950917	9.971831E-2
21/09/2022  14:31:09.950919	2.567641E+0	21/09/2022  14:31:09.950921	9.971831E-2
21/09/2022  14:31:09.950923	2.557333E+0	21/09/2022  14:31:09.950925	9.987937E-2
21/09/2022  14:31:09.950927	2.547509E+0	21/09/2022  14:31:09.950929	9.939619E-2
21/09/2022  14:31:09.950931	2.539134E+0	21/09/2022  14:31:09.950933	9.923513E-2
21/09/2022  14:31:09.950935	2.528020E+0	21/09/2022  14:31:09.950937	9.907407E-2
21/09/2022  14:31:09.950939	2.518840E+0	21/09/2022  14:31:09.950941	9.891301E-2
21/09/2022  14:31:09.950943	2.507082E+0	21/09/2022  14:31:09.950945	9.875195E-2
21/09/2022  14:31:09.950947	2.499190E+0	21/09/2022  14:31:09.950949	9.826877E-2
21/09/2022  14:31:09.950951	2.489849E+0	21/09/2022  14:31:09.950953	9.778559E-2
21/09/2022  14:31:09.950955	2.476964E+0	21/09/2022  14:31:09.950957	9.730242E-2
21/09/2022  14:31:09.950959	2.467139E+0	21/09/2022  14:31:09.950961	9.730242E-2
21/09/2022  14:31:09.950963	2.455865E+0	21/09/2022  14:31:09.950965	9.649712E-2
21/09/2022  14:31:09.950967	2.447168E+0	21/09/2022  14:31:09.950969	9.617500E-2
21/09/2022  14:31:09.950971	2.434605E+0	21/09/2022  14:31:09.950973	9.585288E-2
21/09/2022  14:31:09.950975	2.425263E+0	21/09/2022  14:31:09.950977	9.553076E-2
21/09/2022  14:31:09.950979	2.412701E+0	21/09/2022  14:31:09.950981	9.456440E-2
21/09/2022  14:31:09.950983	2.403198E+0	21/09/2022  14:31:09.950985	9.456440E-2
21/09/2022  14:31:09.950987	2.390313E+0	21/09/2022  14:31:09.950989	9.359804E-2
21/09/2022  14:31:09.950991	2.381133E+0	21/09/2022  14:31:09.950993	9.359804E-2
21/09/2022  14:31:09.950995	2.368892E+0	21/09/2022  14:31:09.950997	9.279274E-2
21/09/2022  14:31:09.950999	2.357457E+0	21/09/2022  14:31:09.951001	9.214850E-2
21/09/2022  14:31:09.951003	2.348276E+0	21/09/2022  14:31:09.951005	9.198744E-2
21/09/2022  14:31:09.951007	2.336358E+0	21/09/2022  14:31:09.951009	9.134321E-2
21/09/2022  14:31:09.951011	2.325083E+0	21/09/2022  14:31:09.951013	9.069897E-2
21/09/2022  14:31:09.951015	2.314453E+0	21/09/2022  14:31:09.951017	9.005473E-2
21/09/2022  14:31:09.951019	2.302696E+0	21/09/2022  14:31:09.951021	8.989367E-2
21/09/2022  14:31:09.951023	2.290938E+0	21/09/2022  14:31:09.951025	8.876625E-2
21/09/2022  14:31:09.951027	2.279020E+0	21/09/2022  14:31:09.951029	8.796095E-2
