waveform	[0]		[1]	
t0	21/09/2022  14:14:09.784309		21/09/2022  14:14:09.784311	
delta t	4.000000E-6		4.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
21/09/2022  14:14:09.784309	1.131144E+0	21/09/2022  14:14:09.784311	1.238773E-1
21/09/2022  14:14:09.784313	1.140486E+0	21/09/2022  14:14:09.784315	1.274206E-1
21/09/2022  14:14:09.784317	1.149344E+0	21/09/2022  14:14:09.784319	1.308028E-1
21/09/2022  14:14:09.784321	1.155947E+0	21/09/2022  14:14:09.784323	1.338630E-1
21/09/2022  14:14:09.784325	1.164161E+0	21/09/2022  14:14:09.784327	1.374063E-1
21/09/2022  14:14:09.784329	1.171892E+0	21/09/2022  14:14:09.784331	1.406275E-1
21/09/2022  14:14:09.784333	1.181878E+0	21/09/2022  14:14:09.784335	1.440097E-1
21/09/2022  14:14:09.784337	1.190575E+0	21/09/2022  14:14:09.784339	1.477141E-1
21/09/2022  14:14:09.784341	1.198306E+0	21/09/2022  14:14:09.784343	1.507742E-1
21/09/2022  14:14:09.784345	1.210869E+0	21/09/2022  14:14:09.784347	1.552839E-1
21/09/2022  14:14:09.784349	1.218438E+0	21/09/2022  14:14:09.784351	1.591493E-1
21/09/2022  14:14:09.784353	1.229068E+0	21/09/2022  14:14:09.784355	1.631758E-1
21/09/2022  14:14:09.784357	1.235994E+0	21/09/2022  14:14:09.784359	1.672023E-1
21/09/2022  14:14:09.784361	1.248718E+0	21/09/2022  14:14:09.784363	1.717120E-1
21/09/2022  14:14:09.784365	1.256126E+0	21/09/2022  14:14:09.784367	1.765438E-1
21/09/2022  14:14:09.784369	1.267079E+0	21/09/2022  14:14:09.784371	1.812145E-1
21/09/2022  14:14:09.784373	1.277386E+0	21/09/2022  14:14:09.784375	1.863684E-1
21/09/2022  14:14:09.784377	1.288016E+0	21/09/2022  14:14:09.784379	1.912002E-1
21/09/2022  14:14:09.784381	1.293975E+0	21/09/2022  14:14:09.784383	1.963541E-1
21/09/2022  14:14:09.784385	1.304605E+0	21/09/2022  14:14:09.784387	2.021523E-1
21/09/2022  14:14:09.784389	1.315074E+0	21/09/2022  14:14:09.784391	2.074672E-1
21/09/2022  14:14:09.784393	1.325865E+0	21/09/2022  14:14:09.784395	2.132654E-1
21/09/2022  14:14:09.784397	1.336012E+0	21/09/2022  14:14:09.784399	2.193857E-1
21/09/2022  14:14:09.784401	1.345676E+0	21/09/2022  14:14:09.784403	2.258280E-1
21/09/2022  14:14:09.784405	1.356467E+0	21/09/2022  14:14:09.784407	2.321094E-1
21/09/2022  14:14:09.784409	1.368546E+0	21/09/2022  14:14:09.784411	2.387128E-1
21/09/2022  14:14:09.784413	1.379176E+0	21/09/2022  14:14:09.784415	2.457994E-1
21/09/2022  14:14:09.784417	1.388679E+0	21/09/2022  14:14:09.784419	2.525639E-1
21/09/2022  14:14:09.784421	1.400275E+0	21/09/2022  14:14:09.784423	2.599727E-1
21/09/2022  14:14:09.784425	1.409294E+0	21/09/2022  14:14:09.784427	2.672204E-1
21/09/2022  14:14:09.784429	1.423468E+0	21/09/2022  14:14:09.784431	2.746291E-1
21/09/2022  14:14:09.784433	1.433936E+0	21/09/2022  14:14:09.784435	2.826821E-1
21/09/2022  14:14:09.784437	1.444727E+0	21/09/2022  14:14:09.784439	2.907351E-1
21/09/2022  14:14:09.784441	1.453264E+0	21/09/2022  14:14:09.784443	2.989491E-1
21/09/2022  14:14:09.784445	1.465826E+0	21/09/2022  14:14:09.784447	3.066800E-1
21/09/2022  14:14:09.784449	1.479033E+0	21/09/2022  14:14:09.784451	3.153772E-1
21/09/2022  14:14:09.784453	1.492240E+0	21/09/2022  14:14:09.784455	3.237523E-1
21/09/2022  14:14:09.784457	1.498199E+0	21/09/2022  14:14:09.784459	3.326106E-1
21/09/2022  14:14:09.784461	1.513661E+0	21/09/2022  14:14:09.784463	3.419520E-1
21/09/2022  14:14:09.784465	1.524935E+0	21/09/2022  14:14:09.784467	3.512935E-1
21/09/2022  14:14:09.784469	1.536210E+0	21/09/2022  14:14:09.784471	3.604739E-1
