waveform	[0]		[1]	
t0	21/09/2022  14:33:06.697032		21/09/2022  14:33:06.697034	
delta t	4.000000E-6		4.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
21/09/2022  14:33:06.697032	3.003958E+0	21/09/2022  14:33:06.697034	1.095228E+0
21/09/2022  14:33:06.697036	2.987529E+0	21/09/2022  14:33:06.697038	1.091040E+0
21/09/2022  14:33:06.697040	2.969329E+0	21/09/2022  14:33:06.697042	1.084437E+0
21/09/2022  14:33:06.697044	2.952901E+0	21/09/2022  14:33:06.697046	1.076223E+0
21/09/2022  14:33:06.697048	2.929064E+0	21/09/2022  14:33:06.697050	1.066559E+0
21/09/2022  14:33:06.697052	2.911508E+0	21/09/2022  14:33:06.697054	1.055607E+0
21/09/2022  14:33:06.697056	2.894597E+0	21/09/2022  14:33:06.697058	1.044655E+0
21/09/2022  14:33:06.697060	2.875430E+0	21/09/2022  14:33:06.697062	1.032253E+0
21/09/2022  14:33:06.697064	2.853687E+0	21/09/2022  14:33:06.697066	1.020496E+0
21/09/2022  14:33:06.697068	2.833393E+0	21/09/2022  14:33:06.697070	1.008095E+0
21/09/2022  14:33:06.697072	2.816482E+0	21/09/2022  14:33:06.697074	9.960150E-1
21/09/2022  14:33:06.697076	2.799248E+0	21/09/2022  14:33:06.697078	9.829692E-1
21/09/2022  14:33:06.697080	2.776538E+0	21/09/2022  14:33:06.697082	9.704066E-1
21/09/2022  14:33:06.697084	2.756889E+0	21/09/2022  14:33:06.697086	9.578439E-1
21/09/2022  14:33:06.697088	2.736112E+0	21/09/2022  14:33:06.697090	9.456034E-1
21/09/2022  14:33:06.697092	2.717106E+0	21/09/2022  14:33:06.697094	9.327186E-1
21/09/2022  14:33:06.697096	2.695041E+0	21/09/2022  14:33:06.697098	9.193507E-1
21/09/2022  14:33:06.697100	2.674264E+0	21/09/2022  14:33:06.697102	9.059827E-1
21/09/2022  14:33:06.697104	2.654292E+0	21/09/2022  14:33:06.697106	8.935811E-1
21/09/2022  14:33:06.697108	2.631583E+0	21/09/2022  14:33:06.697110	8.802132E-1
21/09/2022  14:33:06.697112	2.609517E+0	21/09/2022  14:33:06.697114	8.673284E-1
21/09/2022  14:33:06.697116	2.592284E+0	21/09/2022  14:33:06.697118	8.537994E-1
21/09/2022  14:33:06.697120	2.572312E+0	21/09/2022  14:33:06.697122	8.412368E-1
