5/10/2022	12:48 PM
Voltage (V),Current (mA)
0.003	-0.000
0.014	-0.000
0.020	-0.000
0.032	-0.000
0.043	0.000
0.055	0.000
0.061	0.000
0.073	0.000
0.085	0.000
0.091	0.000
0.103	0.000
0.115	0.000
0.126	0.000
0.132	0.000
0.144	0.000
0.156	0.000
0.162	0.000
0.174	0.000
0.186	0.000
0.197	0.000
0.203	0.000
0.214	0.000
0.226	0.000
0.232	0.000
0.243	0.000
0.255	0.000
0.267	0.000
0.273	0.001
0.284	0.001
0.296	0.001
0.302	0.001
0.313	0.001
0.325	0.001
0.331	0.001
0.342	0.002
0.354	0.002
0.366	0.002
0.372	0.002
0.383	0.003
0.395	0.003
0.400	0.003
0.412	0.004
0.424	0.004
0.435	0.005
0.441	0.005
0.453	0.006
0.465	0.007
0.471	0.007
0.483	0.008
0.494	0.009
0.506	0.010
0.512	0.011
0.524	0.012
0.535	0.013
0.541	0.014
0.553	0.015
0.565	0.016
0.576	0.018
0.582	0.019
0.593	0.020
0.605	0.022
0.611	0.023
0.623	0.024
0.635	0.026
0.646	0.028
0.652	0.029
0.664	0.031
0.676	0.033
0.681	0.034
0.693	0.037
0.705	0.039
0.716	0.041
0.722	0.043
0.734	0.045
0.746	0.048
0.752	0.049
0.763	0.050
0.775	0.050
0.787	0.050
0.793	0.050
0.805	0.050
0.817	0.050
0.823	0.050
0.835	0.050
0.847	0.050
0.859	0.050
0.865	0.050
0.876	0.050
0.888	0.050
0.894	0.050
0.906	0.050
0.917	0.050
0.923	0.050
0.935	0.050
0.947	0.050
0.959	0.050
0.964	0.050
0.976	0.050
0.988	0.050
0.993	0.050
1.005	0.050
