waveform	[0]		[1]	
t0	5/10/2022  14:53:41.979331		5/10/2022  14:53:41.979335	
delta t	8.000000E-6		8.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
5/10/2022  14:53:41.979331	-7.277459E+0	5/10/2022  14:53:41.979335	-1.026767E+1
5/10/2022  14:53:41.979339	-7.276170E+0	5/10/2022  14:53:41.979343	-1.026799E+1
5/10/2022  14:53:41.979347	-7.275203E+0	5/10/2022  14:53:41.979351	-1.026799E+1
5/10/2022  14:53:41.979355	-7.275203E+0	5/10/2022  14:53:41.979359	-1.026864E+1
5/10/2022  14:53:41.979363	-7.276814E+0	5/10/2022  14:53:41.979367	-1.026735E+1
5/10/2022  14:53:41.979371	-7.275848E+0	5/10/2022  14:53:41.979375	-1.026799E+1
5/10/2022  14:53:41.979379	-7.277137E+0	5/10/2022  14:53:41.979383	-1.026703E+1
5/10/2022  14:53:41.979387	-7.273914E+0	5/10/2022  14:53:41.979391	-1.026735E+1
5/10/2022  14:53:41.979395	-7.275203E+0	5/10/2022  14:53:41.979399	-1.026735E+1
5/10/2022  14:53:41.979403	-7.278103E+0	5/10/2022  14:53:41.979407	-1.026735E+1
5/10/2022  14:53:41.979411	-7.276814E+0	5/10/2022  14:53:41.979415	-1.026703E+1
5/10/2022  14:53:41.979419	-7.278748E+0	5/10/2022  14:53:41.979423	-1.026767E+1
5/10/2022  14:53:41.979427	-7.275525E+0	5/10/2022  14:53:41.979431	-1.026767E+1
5/10/2022  14:53:41.979435	-7.275525E+0	5/10/2022  14:53:41.979439	-1.026606E+1
5/10/2022  14:53:41.979443	-7.277781E+0	5/10/2022  14:53:41.979447	-1.026703E+1
5/10/2022  14:53:41.979451	-7.276814E+0	5/10/2022  14:53:41.979455	-1.026735E+1
5/10/2022  14:53:41.979459	-7.276492E+0	5/10/2022  14:53:41.979463	-1.026735E+1
5/10/2022  14:53:41.979467	-7.276170E+0	5/10/2022  14:53:41.979471	-1.026703E+1
5/10/2022  14:53:41.979475	-7.277781E+0	5/10/2022  14:53:41.979479	-1.026638E+1
5/10/2022  14:53:41.979483	-7.278748E+0	5/10/2022  14:53:41.979487	-1.026638E+1
5/10/2022  14:53:41.979491	-7.277137E+0	5/10/2022  14:53:41.979495	-1.026670E+1
5/10/2022  14:53:41.979499	-7.272947E+0	5/10/2022  14:53:41.979503	-1.026638E+1
5/10/2022  14:53:41.979507	-7.275848E+0	5/10/2022  14:53:41.979511	-1.026703E+1
5/10/2022  14:53:41.979515	-7.277459E+0	5/10/2022  14:53:41.979519	-1.026670E+1
5/10/2022  14:53:41.979523	-7.276492E+0	5/10/2022  14:53:41.979527	-1.026670E+1
5/10/2022  14:53:41.979531	-7.279392E+0	5/10/2022  14:53:41.979535	-1.026670E+1
5/10/2022  14:53:41.979539	-7.276170E+0	5/10/2022  14:53:41.979543	-1.026606E+1
5/10/2022  14:53:41.979547	-7.278103E+0	5/10/2022  14:53:41.979551	-1.026606E+1
5/10/2022  14:53:41.979555	-7.275848E+0	5/10/2022  14:53:41.979559	-1.026703E+1
5/10/2022  14:53:41.979563	-7.278748E+0	5/10/2022  14:53:41.979567	-1.026606E+1
5/10/2022  14:53:41.979571	-7.276492E+0	5/10/2022  14:53:41.979575	-1.026670E+1
5/10/2022  14:53:41.979579	-7.275203E+0	5/10/2022  14:53:41.979583	-1.026670E+1
5/10/2022  14:53:41.979587	-7.277137E+0	5/10/2022  14:53:41.979591	-1.026638E+1
5/10/2022  14:53:41.979595	-7.275848E+0	5/10/2022  14:53:41.979599	-1.026638E+1
5/10/2022  14:53:41.979603	-7.280037E+0	5/10/2022  14:53:41.979607	-1.026638E+1
5/10/2022  14:53:41.979611	-7.276814E+0	5/10/2022  14:53:41.979615	-1.026638E+1
5/10/2022  14:53:41.979619	-7.277459E+0	5/10/2022  14:53:41.979623	-1.026606E+1
5/10/2022  14:53:41.979627	-7.274881E+0	5/10/2022  14:53:41.979631	-1.026606E+1
5/10/2022  14:53:41.979635	-7.275525E+0	5/10/2022  14:53:41.979639	-1.026638E+1
5/10/2022  14:53:41.979643	-7.276814E+0	5/10/2022  14:53:41.979647	-1.026638E+1
5/10/2022  14:53:41.979651	-7.278103E+0	5/10/2022  14:53:41.979655	-1.026670E+1
5/10/2022  14:53:41.979659	-7.276814E+0	5/10/2022  14:53:41.979663	-1.026574E+1
5/10/2022  14:53:41.979667	-7.277137E+0	5/10/2022  14:53:41.979671	-1.026574E+1
5/10/2022  14:53:41.979675	-7.277137E+0	5/10/2022  14:53:41.979679	-1.026541E+1
5/10/2022  14:53:41.979683	-7.276492E+0	5/10/2022  14:53:41.979687	-1.026638E+1
5/10/2022  14:53:41.979691	-7.276170E+0	5/10/2022  14:53:41.979695	-1.026574E+1
5/10/2022  14:53:41.979699	-7.278103E+0	5/10/2022  14:53:41.979703	-1.026541E+1
5/10/2022  14:53:41.979707	-7.275848E+0	5/10/2022  14:53:41.979711	-1.026606E+1
5/10/2022  14:53:41.979715	-7.274236E+0	5/10/2022  14:53:41.979719	-1.026606E+1
5/10/2022  14:53:41.979723	-7.278748E+0	5/10/2022  14:53:41.979727	-1.026606E+1
5/10/2022  14:53:41.979731	-7.279070E+0	5/10/2022  14:53:41.979735	-1.026638E+1
5/10/2022  14:53:41.979739	-7.276492E+0	5/10/2022  14:53:41.979743	-1.026606E+1
5/10/2022  14:53:41.979747	-7.277459E+0	5/10/2022  14:53:41.979751	-1.026509E+1
5/10/2022  14:53:41.979755	-7.276170E+0	5/10/2022  14:53:41.979759	-1.026477E+1
5/10/2022  14:53:41.979763	-7.276814E+0	5/10/2022  14:53:41.979767	-1.026574E+1
5/10/2022  14:53:41.979771	-7.277459E+0	5/10/2022  14:53:41.979775	-1.026574E+1
5/10/2022  14:53:41.979779	-7.275525E+0	5/10/2022  14:53:41.979783	-1.026541E+1
