waveform	[0]		[1]	
t0	5/10/2022  14:51:46.218474		5/10/2022  14:51:46.218478	
delta t	8.000000E-6		8.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
5/10/2022  14:51:46.218474	-1.053386E+1	5/10/2022  14:51:46.218478	-9.535820E+0
5/10/2022  14:51:46.218482	-1.053225E+1	5/10/2022  14:51:46.218486	-9.523896E+0
5/10/2022  14:51:46.218490	-1.053837E+1	5/10/2022  14:51:46.218494	-9.511973E+0
5/10/2022  14:51:46.218498	-1.053321E+1	5/10/2022  14:51:46.218502	-9.499405E+0
5/10/2022  14:51:46.218506	-1.053772E+1	5/10/2022  14:51:46.218510	-9.486837E+0
5/10/2022  14:51:46.218514	-1.053676E+1	5/10/2022  14:51:46.218518	-9.474913E+0
5/10/2022  14:51:46.218522	-1.054063E+1	5/10/2022  14:51:46.218526	-9.463312E+0
5/10/2022  14:51:46.218530	-1.053998E+1	5/10/2022  14:51:46.218534	-9.451388E+0
5/10/2022  14:51:46.218538	-1.054546E+1	5/10/2022  14:51:46.218542	-9.439143E+0
5/10/2022  14:51:46.218546	-1.054256E+1	5/10/2022  14:51:46.218550	-9.426574E+0
5/10/2022  14:51:46.218554	-1.054320E+1	5/10/2022  14:51:46.218558	-9.414973E+0
5/10/2022  14:51:46.218562	-1.054417E+1	5/10/2022  14:51:46.218566	-9.402083E+0
5/10/2022  14:51:46.218570	-1.054481E+1	5/10/2022  14:51:46.218574	-9.390804E+0
5/10/2022  14:51:46.218578	-1.054868E+1	5/10/2022  14:51:46.218582	-9.379203E+0
5/10/2022  14:51:46.218586	-1.054933E+1	5/10/2022  14:51:46.218590	-9.366957E+0
5/10/2022  14:51:46.218594	-1.054900E+1	5/10/2022  14:51:46.218598	-9.354711E+0
5/10/2022  14:51:46.218602	-1.054836E+1	5/10/2022  14:51:46.218606	-9.342465E+0
5/10/2022  14:51:46.218610	-1.055223E+1	5/10/2022  14:51:46.218614	-9.330219E+0
5/10/2022  14:51:46.218618	-1.055158E+1	5/10/2022  14:51:46.218622	-9.318296E+0
5/10/2022  14:51:46.218626	-1.055319E+1	5/10/2022  14:51:46.218630	-9.306695E+0
5/10/2022  14:51:46.218634	-1.055319E+1	5/10/2022  14:51:46.218638	-9.294449E+0
5/10/2022  14:51:46.218642	-1.055319E+1	5/10/2022  14:51:46.218646	-9.282848E+0
5/10/2022  14:51:46.218650	-1.055319E+1	5/10/2022  14:51:46.218654	-9.271246E+0
5/10/2022  14:51:46.218658	-1.055319E+1	5/10/2022  14:51:46.218662	-9.259645E+0
5/10/2022  14:51:46.218666	-1.055319E+1	5/10/2022  14:51:46.218670	-9.247077E+0
5/10/2022  14:51:46.218674	-1.055319E+1	5/10/2022  14:51:46.218678	-9.234831E+0
5/10/2022  14:51:46.218682	-1.055319E+1	5/10/2022  14:51:46.218686	-9.222586E+0
5/10/2022  14:51:46.218690	-1.055319E+1	5/10/2022  14:51:46.218694	-9.211951E+0
5/10/2022  14:51:46.218698	-1.055319E+1	5/10/2022  14:51:46.218702	-9.199705E+0
5/10/2022  14:51:46.218706	-1.055319E+1	5/10/2022  14:51:46.218710	-9.188104E+0
5/10/2022  14:51:46.218714	-1.055319E+1	5/10/2022  14:51:46.218718	-9.176503E+0
5/10/2022  14:51:46.218722	-1.055319E+1	5/10/2022  14:51:46.218726	-9.164902E+0
5/10/2022  14:51:46.218730	-1.055319E+1	5/10/2022  14:51:46.218734	-9.152656E+0
5/10/2022  14:51:46.218738	-1.055319E+1	5/10/2022  14:51:46.218742	-9.141377E+0
5/10/2022  14:51:46.218746	-1.055319E+1	5/10/2022  14:51:46.218750	-9.129453E+0
5/10/2022  14:51:46.218754	-1.055319E+1	5/10/2022  14:51:46.218758	-9.117530E+0
5/10/2022  14:51:46.218762	-1.055319E+1	5/10/2022  14:51:46.218766	-9.105606E+0
5/10/2022  14:51:46.218770	-1.055319E+1	5/10/2022  14:51:46.218774	-9.094005E+0
5/10/2022  14:51:46.218778	-1.055319E+1	5/10/2022  14:51:46.218782	-9.082726E+0
5/10/2022  14:51:46.218786	-1.055319E+1	5/10/2022  14:51:46.218790	-9.070480E+0
5/10/2022  14:51:46.218794	-1.055319E+1	5/10/2022  14:51:46.218798	-9.058557E+0
5/10/2022  14:51:46.218802	-1.055319E+1	5/10/2022  14:51:46.218806	-9.047278E+0
5/10/2022  14:51:46.218810	-1.055319E+1	5/10/2022  14:51:46.218814	-9.036321E+0
5/10/2022  14:51:46.218818	-1.055319E+1	5/10/2022  14:51:46.218822	-9.024075E+0
5/10/2022  14:51:46.218826	-1.055319E+1	5/10/2022  14:51:46.218830	-9.012474E+0
5/10/2022  14:51:46.218834	-1.055319E+1	5/10/2022  14:51:46.218838	-9.000873E+0
5/10/2022  14:51:46.218842	-1.055319E+1	5/10/2022  14:51:46.218846	-8.988950E+0
5/10/2022  14:51:46.218850	-1.055319E+1	5/10/2022  14:51:46.218854	-8.977993E+0
5/10/2022  14:51:46.218858	-1.055319E+1	5/10/2022  14:51:46.218862	-8.966069E+0
5/10/2022  14:51:46.218866	-1.055319E+1	5/10/2022  14:51:46.218870	-8.954468E+0
5/10/2022  14:51:46.218874	-1.055319E+1	5/10/2022  14:51:46.218878	-8.943834E+0
5/10/2022  14:51:46.218882	-1.055319E+1	5/10/2022  14:51:46.218886	-8.931588E+0
5/10/2022  14:51:46.218890	-1.055319E+1	5/10/2022  14:51:46.218894	-8.919987E+0
5/10/2022  14:51:46.218898	-1.055319E+1	5/10/2022  14:51:46.218902	-8.908708E+0
5/10/2022  14:51:46.218906	-1.055319E+1	5/10/2022  14:51:46.218910	-8.897429E+0
5/10/2022  14:51:46.218914	-1.055319E+1	5/10/2022  14:51:46.218918	-8.886150E+0
