waveform	[0]		[1]	
t0	2/11/2022  12:45:27.550068		2/11/2022  12:45:27.550079	
delta t	0.000500		0.000500	

time[0]	Y[0]	time[1]	Y[1]
2/11/2022  12:45:27.550068	2.421237E+0	2/11/2022  12:45:27.550079	3.190951E+0
2/11/2022  12:45:27.550568	2.427196E+0	2/11/2022  12:45:27.550579	3.191434E+0
2/11/2022  12:45:27.551068	2.433155E+0	2/11/2022  12:45:27.551079	3.191434E+0
2/11/2022  12:45:27.551568	2.439598E+0	2/11/2022  12:45:27.551579	3.191595E+0
2/11/2022  12:45:27.552068	2.446040E+0	2/11/2022  12:45:27.552079	3.192884E+0
2/11/2022  12:45:27.552568	2.454093E+0	2/11/2022  12:45:27.552579	3.192723E+0
2/11/2022  12:45:27.553068	2.459569E+0	2/11/2022  12:45:27.553079	3.193206E+0
2/11/2022  12:45:27.553568	2.467461E+0	2/11/2022  12:45:27.553579	3.192723E+0
2/11/2022  12:45:27.554068	2.471810E+0	2/11/2022  12:45:27.554079	3.192079E+0
2/11/2022  12:45:27.554568	2.477608E+0	2/11/2022  12:45:27.554579	3.191757E+0
2/11/2022  12:45:27.555068	2.483406E+0	2/11/2022  12:45:27.555079	3.192562E+0
2/11/2022  12:45:27.555568	2.488399E+0	2/11/2022  12:45:27.555579	3.192562E+0
2/11/2022  12:45:27.556068	2.494681E+0	2/11/2022  12:45:27.556079	3.192723E+0
2/11/2022  12:45:27.556568	2.500479E+0	2/11/2022  12:45:27.556579	3.193206E+0
2/11/2022  12:45:27.557068	2.506921E+0	2/11/2022  12:45:27.557079	3.193528E+0
2/11/2022  12:45:27.557568	2.513847E+0	2/11/2022  12:45:27.557579	3.193850E+0
2/11/2022  12:45:27.558068	2.519645E+0	2/11/2022  12:45:27.558079	3.193206E+0
2/11/2022  12:45:27.558568	2.526249E+0	2/11/2022  12:45:27.558579	3.194011E+0
2/11/2022  12:45:27.559068	2.533174E+0	2/11/2022  12:45:27.559079	3.192723E+0
2/11/2022  12:45:27.559568	2.536557E+0	2/11/2022  12:45:27.559579	3.193367E+0
2/11/2022  12:45:27.560068	2.542355E+0	2/11/2022  12:45:27.560079	3.192562E+0
2/11/2022  12:45:27.560568	2.547509E+0	2/11/2022  12:45:27.560579	3.193528E+0
