waveform	[0]		[1]	
t0	2/11/2022  13:12:05.533455		2/11/2022  13:12:05.533466	
delta t	0.000500		0.000500	

time[0]	Y[0]	time[1]	Y[1]
2/11/2022  13:12:05.533455	1.277547E+0	2/11/2022  13:12:05.533466	2.744487E+0
2/11/2022  13:12:05.533955	1.272071E+0	2/11/2022  13:12:05.533966	2.744648E+0
2/11/2022  13:12:05.534455	1.265951E+0	2/11/2022  13:12:05.534466	2.744487E+0
2/11/2022  13:12:05.534955	1.260314E+0	2/11/2022  13:12:05.534966	2.744648E+0
2/11/2022  13:12:05.535455	1.252422E+0	2/11/2022  13:12:05.535466	2.743198E+0
2/11/2022  13:12:05.535955	1.245335E+0	2/11/2022  13:12:05.535966	2.742715E+0
2/11/2022  13:12:05.536455	1.238410E+0	2/11/2022  13:12:05.536466	2.742876E+0
2/11/2022  13:12:05.536955	1.231323E+0	2/11/2022  13:12:05.536966	2.743037E+0
2/11/2022  13:12:05.537455	1.224720E+0	2/11/2022  13:12:05.537466	2.742554E+0
2/11/2022  13:12:05.537955	1.217150E+0	2/11/2022  13:12:05.537966	2.742393E+0
2/11/2022  13:12:05.538455	1.210547E+0	2/11/2022  13:12:05.538466	2.742071E+0
2/11/2022  13:12:05.538955	1.206681E+0	2/11/2022  13:12:05.538966	2.744487E+0
2/11/2022  13:12:05.539455	1.200883E+0	2/11/2022  13:12:05.539466	2.743843E+0
2/11/2022  13:12:05.539955	1.195568E+0	2/11/2022  13:12:05.539966	2.743682E+0
2/11/2022  13:12:05.540455	1.190253E+0	2/11/2022  13:12:05.540466	2.743843E+0
2/11/2022  13:12:05.540955	1.183005E+0	2/11/2022  13:12:05.540966	2.742554E+0
2/11/2022  13:12:05.541455	1.176563E+0	2/11/2022  13:12:05.541466	2.742554E+0
2/11/2022  13:12:05.541955	1.169798E+0	2/11/2022  13:12:05.541966	2.742393E+0
2/11/2022  13:12:05.542455	1.163195E+0	2/11/2022  13:12:05.542466	2.742393E+0
2/11/2022  13:12:05.542955	1.156592E+0	2/11/2022  13:12:05.542966	2.741749E+0
2/11/2022  13:12:05.543455	1.149666E+0	2/11/2022  13:12:05.543466	2.742232E+0
