waveform	[0]		[1]	
t0	2/11/2022  13:02:21.756574		2/11/2022  13:02:21.756585	
delta t	0.000500		0.000500	

time[0]	Y[0]	time[1]	Y[1]
2/11/2022  13:02:21.756574	7.215695E-1	2/11/2022  13:02:21.756585	3.357973E+0
2/11/2022  13:02:21.757074	7.202810E-1	2/11/2022  13:02:21.757085	3.357329E+0
2/11/2022  13:02:21.757574	7.206031E-1	2/11/2022  13:02:21.757585	3.358134E+0
2/11/2022  13:02:21.758074	7.196368E-1	2/11/2022  13:02:21.758085	3.357651E+0
2/11/2022  13:02:21.758574	7.207642E-1	2/11/2022  13:02:21.758585	3.359101E+0
2/11/2022  13:02:21.759074	7.206031E-1	2/11/2022  13:02:21.759085	3.358618E+0
2/11/2022  13:02:21.759574	7.212474E-1	2/11/2022  13:02:21.759585	3.358618E+0
2/11/2022  13:02:21.760074	7.217305E-1	2/11/2022  13:02:21.760085	3.357812E+0
2/11/2022  13:02:21.760574	7.206031E-1	2/11/2022  13:02:21.760585	3.358940E+0
2/11/2022  13:02:21.761074	7.206031E-1	2/11/2022  13:02:21.761085	3.358296E+0
2/11/2022  13:02:21.761574	7.202810E-1	2/11/2022  13:02:21.761585	3.357168E+0
2/11/2022  13:02:21.762074	7.209252E-1	2/11/2022  13:02:21.762085	3.359262E+0
2/11/2022  13:02:21.762574	7.202810E-1	2/11/2022  13:02:21.762585	3.358457E+0
2/11/2022  13:02:21.763074	7.202810E-1	2/11/2022  13:02:21.763085	3.357812E+0
2/11/2022  13:02:21.763574	7.201199E-1	2/11/2022  13:02:21.763585	3.358134E+0
2/11/2022  13:02:21.764074	7.218916E-1	2/11/2022  13:02:21.764085	3.359262E+0
2/11/2022  13:02:21.764574	7.218916E-1	2/11/2022  13:02:21.764585	3.357329E+0
2/11/2022  13:02:21.765074	7.236633E-1	2/11/2022  13:02:21.765085	3.359262E+0
2/11/2022  13:02:21.765574	7.247907E-1	2/11/2022  13:02:21.765585	3.359101E+0
2/11/2022  13:02:21.766074	7.222137E-1	2/11/2022  13:02:21.766085	3.356685E+0
2/11/2022  13:02:21.766574	7.236633E-1	2/11/2022  13:02:21.766585	3.358940E+0
2/11/2022  13:02:21.767074	7.235022E-1	2/11/2022  13:02:21.767085	3.357812E+0
2/11/2022  13:02:21.767574	7.239854E-1	2/11/2022  13:02:21.767585	3.358296E+0
2/11/2022  13:02:21.768074	7.239854E-1	2/11/2022  13:02:21.768085	3.357812E+0
2/11/2022  13:02:21.768574	7.241464E-1	2/11/2022  13:02:21.768585	3.358134E+0
2/11/2022  13:02:21.769074	7.243075E-1	2/11/2022  13:02:21.769085	3.357973E+0
2/11/2022  13:02:21.769574	7.257570E-1	2/11/2022  13:02:21.769585	3.358940E+0
2/11/2022  13:02:21.770074	7.267234E-1	2/11/2022  13:02:21.770085	3.358940E+0
2/11/2022  13:02:21.770574	7.281729E-1	2/11/2022  13:02:21.770585	3.359101E+0
2/11/2022  13:02:21.771074	7.293003E-1	2/11/2022  13:02:21.771085	3.359745E+0
2/11/2022  13:02:21.771574	7.294614E-1	2/11/2022  13:02:21.771585	3.358618E+0
2/11/2022  13:02:21.772074	7.304278E-1	2/11/2022  13:02:21.772085	3.357812E+0
2/11/2022  13:02:21.772574	7.299446E-1	2/11/2022  13:02:21.772585	3.358457E+0
2/11/2022  13:02:21.773074	7.312331E-1	2/11/2022  13:02:21.773085	3.358940E+0
