21/09/2022	12:42 PM
Voltage (V),Current (mA)
0.506	-0.010
0.530	-0.010
0.547	-0.011
0.570	-0.010
0.588	-0.011
0.605	-0.010
0.629	-0.011
0.646	-0.010
0.670	-0.011
0.687	-0.011
0.705	-0.011
0.728	-0.010
0.746	-0.010
0.769	-0.009
0.787	-0.009
0.811	-0.007
0.829	-0.006
0.847	-0.004
0.870	0.000
0.888	0.005
0.911	0.016
0.928	0.028
0.945	0.046
0.967	0.080
0.983	0.120
1.003	0.196
1.018	0.278
1.034	0.418
1.046	0.546
1.067	0.937
1.080	1.275
1.100	2.136
1.121	3.569
1.139	5.532
1.159	8.610
1.176	12.375
1.196	18.091
1.216	25.293
1.235	33.979
