21/09/2022	1:09 PM
Voltage (V),Current (mA)
0.002	-0.006
0.055	-0.005
0.103	-0.005
0.157	-0.006
0.205	-0.006
0.258	-0.005
0.305	-0.005
0.358	-0.005
0.404	-0.005
0.457	-0.005
0.504	-0.005
0.556	-0.005
0.603	-0.005
0.655	-0.005
0.702	-0.005
0.755	-0.004
0.808	-0.002
0.856	0.003
0.908	0.016
0.954	0.038
1.007	0.079
1.053	0.127
1.103	0.188
1.147	0.246
1.196	0.316
1.240	0.381
1.289	0.455
1.332	0.523
1.382	0.602
1.425	0.672
1.475	0.753
1.524	0.833
1.600	0.960
1.644	1.036
1.699	1.127
1.744	1.202
1.797	1.295
1.846	1.379
1.896	1.463
1.944	1.546
1.999	1.641
2.042	1.716
2.096	1.809
2.145	1.894
2.198	1.987
2.241	2.062
2.290	2.147
2.344	2.241
2.392	2.326
2.446	2.420
2.490	2.496
2.544	2.591
2.593	2.678
2.641	2.763
2.689	2.849
2.743	2.942
2.791	3.026
2.839	3.111
2.888	3.197
2.938	3.285
2.992	3.381
3.035	3.458
3.089	3.553
3.138	3.639
3.192	3.735
3.236	3.811
3.290	3.909
3.338	3.994
3.387	4.079
3.435	4.166
3.490	4.263
3.539	4.350
3.588	4.436
3.637	4.523
3.685	4.609
3.733	4.694
3.781	4.779
3.835	4.876
3.883	4.960
3.931	5.045
3.980	5.132
4.034	5.229
4.082	5.315
4.137	5.412
4.180	5.490
4.234	5.585
4.282	5.670
4.331	5.757
4.379	5.843
4.427	5.929
4.481	6.025
4.523	6.100
4.577	6.196
4.624	6.279
4.677	6.375
4.720	6.451
4.773	6.544
4.824	6.635
4.876	6.729
4.928	6.822
4.979	6.912
5.030	7.005
5.072	7.078
5.123	7.168
5.164	7.243
5.227	7.354
5.268	7.429
5.319	7.519
5.371	7.610
5.423	7.703
5.474	7.794
5.515	7.869
5.567	7.962
5.618	8.055
5.670	8.146
5.722	8.239
5.764	8.313
5.826	8.424
5.867	8.498
5.919	8.592
5.960	8.664
6.022	8.775
6.074	8.868
6.115	8.942
6.167	9.035
6.219	9.128
6.270	9.220
6.312	9.294
6.364	9.387
6.416	9.481
6.468	9.573
6.521	9.669
6.563	9.743
6.614	9.834
6.666	9.927
6.718	10.020
6.768	10.110
6.810	10.184
6.862	10.277
6.913	10.369
6.964	10.460
7.005	10.533
7.058	10.627
7.109	10.719
7.162	10.813
7.214	10.908
7.256	10.983
7.307	11.074
7.359	11.167
7.412	11.261
7.453	11.334
7.506	11.428
7.569	11.542
7.610	11.616
7.662	11.710
7.704	11.785
7.757	11.880
7.808	11.971
7.860	12.064
7.912	12.158
7.952	12.231
8.004	12.323
8.056	12.416
8.107	12.508
8.148	12.582
8.200	12.673
8.251	12.765
8.303	12.857
8.355	12.952
8.397	13.026
8.448	13.118
8.499	13.210
8.550	13.301
8.601	13.391
8.642	13.466
8.695	13.560
8.747	13.654
8.798	13.745
8.839	13.819
8.891	13.911
8.953	14.022
