waveform	[0]		[1]	
t0	21/09/2022  14:32:34.577499		21/09/2022  14:32:34.577501	
delta t	4.000000E-6		4.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
21/09/2022  14:32:34.577499	2.750446E+0	21/09/2022  14:32:34.577501	3.804453E-1
21/09/2022  14:32:34.577503	2.748513E+0	21/09/2022  14:32:34.577505	3.844718E-1
21/09/2022  14:32:34.577507	2.739494E+0	21/09/2022  14:32:34.577509	3.873708E-1
21/09/2022  14:32:34.577511	2.732407E+0	21/09/2022  14:32:34.577513	3.888204E-1
21/09/2022  14:32:34.577515	2.725321E+0	21/09/2022  14:32:34.577517	3.897867E-1
21/09/2022  14:32:34.577519	2.716784E+0	21/09/2022  14:32:34.577521	3.896257E-1
21/09/2022  14:32:34.577523	2.708731E+0	21/09/2022  14:32:34.577525	3.888204E-1
21/09/2022  14:32:34.577527	2.702772E+0	21/09/2022  14:32:34.577529	3.880151E-1
21/09/2022  14:32:34.577531	2.693591E+0	21/09/2022  14:32:34.577533	3.867266E-1
21/09/2022  14:32:34.577535	2.686827E+0	21/09/2022  14:32:34.577537	3.855992E-1
21/09/2022  14:32:34.577539	2.680223E+0	21/09/2022  14:32:34.577541	3.844718E-1
21/09/2022  14:32:34.577543	2.668788E+0	21/09/2022  14:32:34.577545	3.825391E-1
21/09/2022  14:32:34.577547	2.661701E+0	21/09/2022  14:32:34.577549	3.810895E-1
21/09/2022  14:32:34.577551	2.655581E+0	21/09/2022  14:32:34.577553	3.791568E-1
21/09/2022  14:32:34.577555	2.647367E+0	21/09/2022  14:32:34.577557	3.773852E-1
21/09/2022  14:32:34.577559	2.637542E+0	21/09/2022  14:32:34.577561	3.756135E-1
21/09/2022  14:32:34.577563	2.629167E+0	21/09/2022  14:32:34.577565	3.733587E-1
21/09/2022  14:32:34.577567	2.620147E+0	21/09/2022  14:32:34.577569	3.715870E-1
21/09/2022  14:32:34.577571	2.612416E+0	21/09/2022  14:32:34.577573	3.694932E-1
21/09/2022  14:32:34.577575	2.603397E+0	21/09/2022  14:32:34.577577	3.673995E-1
21/09/2022  14:32:34.577579	2.595183E+0	21/09/2022  14:32:34.577581	3.654667E-1
21/09/2022  14:32:34.577583	2.585358E+0	21/09/2022  14:32:34.577585	3.635340E-1
21/09/2022  14:32:34.577587	2.575372E+0	21/09/2022  14:32:34.577589	3.611181E-1
21/09/2022  14:32:34.577591	2.564903E+0	21/09/2022  14:32:34.577593	3.593465E-1
21/09/2022  14:32:34.577595	2.555401E+0	21/09/2022  14:32:34.577597	3.569306E-1
21/09/2022  14:32:34.577599	2.545737E+0	21/09/2022  14:32:34.577601	3.548368E-1
21/09/2022  14:32:34.577603	2.537040E+0	21/09/2022  14:32:34.577605	3.532262E-1
21/09/2022  14:32:34.577607	2.525121E+0	21/09/2022  14:32:34.577609	3.506493E-1
21/09/2022  14:32:34.577611	2.517229E+0	21/09/2022  14:32:34.577613	3.487165E-1
21/09/2022  14:32:34.577615	2.507243E+0	21/09/2022  14:32:34.577617	3.464617E-1
21/09/2022  14:32:34.577619	2.498707E+0	21/09/2022  14:32:34.577621	3.442069E-1
21/09/2022  14:32:34.577623	2.487594E+0	21/09/2022  14:32:34.577625	3.419520E-1
21/09/2022  14:32:34.577627	2.478897E+0	21/09/2022  14:32:34.577629	3.396972E-1
21/09/2022  14:32:34.577631	2.465045E+0	21/09/2022  14:32:34.577633	3.372813E-1
21/09/2022  14:32:34.577635	2.455704E+0	21/09/2022  14:32:34.577637	3.350265E-1
21/09/2022  14:32:34.577639	2.444591E+0	21/09/2022  14:32:34.577641	3.327716E-1
21/09/2022  14:32:34.577643	2.433800E+0	21/09/2022  14:32:34.577645	3.301947E-1
21/09/2022  14:32:34.577647	2.424941E+0	21/09/2022  14:32:34.577649	3.276177E-1
21/09/2022  14:32:34.577651	2.412217E+0	21/09/2022  14:32:34.577653	3.255240E-1
21/09/2022  14:32:34.577655	2.401426E+0	21/09/2022  14:32:34.577657	3.229470E-1
21/09/2022  14:32:34.577659	2.391763E+0	21/09/2022  14:32:34.577661	3.206922E-1
21/09/2022  14:32:34.577663	2.379522E+0	21/09/2022  14:32:34.577665	3.181152E-1
21/09/2022  14:32:34.577667	2.368731E+0	21/09/2022  14:32:34.577669	3.160214E-1
21/09/2022  14:32:34.577671	2.358584E+0	21/09/2022  14:32:34.577673	3.134445E-1
21/09/2022  14:32:34.577675	2.346504E+0	21/09/2022  14:32:34.577677	3.107065E-1
21/09/2022  14:32:34.577679	2.335069E+0	21/09/2022  14:32:34.577681	3.087738E-1
21/09/2022  14:32:34.577683	2.323151E+0	21/09/2022  14:32:34.577685	3.063579E-1
21/09/2022  14:32:34.577687	2.312360E+0	21/09/2022  14:32:34.577689	3.036198E-1
21/09/2022  14:32:34.577691	2.300602E+0	21/09/2022  14:32:34.577693	3.010429E-1
21/09/2022  14:32:34.577695	2.288684E+0	21/09/2022  14:32:34.577697	2.984659E-1
21/09/2022  14:32:34.577699	2.275477E+0	21/09/2022  14:32:34.577701	2.963722E-1
21/09/2022  14:32:34.577703	2.265330E+0	21/09/2022  14:32:34.577705	2.937952E-1
21/09/2022  14:32:34.577707	2.254217E+0	21/09/2022  14:32:34.577709	2.912183E-1
21/09/2022  14:32:34.577711	2.241171E+0	21/09/2022  14:32:34.577713	2.886413E-1
21/09/2022  14:32:34.577715	2.230702E+0	21/09/2022  14:32:34.577717	2.862254E-1
21/09/2022  14:32:34.577719	2.217334E+0	21/09/2022  14:32:34.577721	2.836485E-1
21/09/2022  14:32:34.577723	2.204127E+0	21/09/2022  14:32:34.577725	2.812326E-1
21/09/2022  14:32:34.577727	2.192208E+0	21/09/2022  14:32:34.577729	2.783335E-1
21/09/2022  14:32:34.577731	2.182545E+0	21/09/2022  14:32:34.577733	2.760787E-1
21/09/2022  14:32:34.577735	2.170787E+0	21/09/2022  14:32:34.577737	2.735017E-1
21/09/2022  14:32:34.577739	2.157902E+0	21/09/2022  14:32:34.577741	2.712469E-1
21/09/2022  14:32:34.577743	2.145823E+0	21/09/2022  14:32:34.577745	2.683478E-1
21/09/2022  14:32:34.577747	2.132938E+0	21/09/2022  14:32:34.577749	2.657708E-1
21/09/2022  14:32:34.577751	2.121341E+0	21/09/2022  14:32:34.577753	2.633549E-1
21/09/2022  14:32:34.577755	2.106846E+0	21/09/2022  14:32:34.577757	2.607780E-1
21/09/2022  14:32:34.577759	2.096538E+0	21/09/2022  14:32:34.577761	2.583621E-1
21/09/2022  14:32:34.577763	2.084298E+0	21/09/2022  14:32:34.577765	2.556241E-1
21/09/2022  14:32:34.577767	2.071574E+0	21/09/2022  14:32:34.577769	2.532082E-1
21/09/2022  14:32:34.577771	2.059333E+0	21/09/2022  14:32:34.577773	2.504702E-1
21/09/2022  14:32:34.577775	2.048059E+0	21/09/2022  14:32:34.577777	2.478932E-1
21/09/2022  14:32:34.577779	2.033725E+0	21/09/2022  14:32:34.577781	2.453163E-1
21/09/2022  14:32:34.577783	2.021645E+0	21/09/2022  14:32:34.577785	2.432225E-1
21/09/2022  14:32:34.577787	2.011337E+0	21/09/2022  14:32:34.577789	2.406455E-1
21/09/2022  14:32:34.577791	1.997325E+0	21/09/2022  14:32:34.577793	2.377465E-1
21/09/2022  14:32:34.577795	1.985245E+0	21/09/2022  14:32:34.577797	2.351695E-1
21/09/2022  14:32:34.577799	1.970750E+0	21/09/2022  14:32:34.577801	2.327536E-1
21/09/2022  14:32:34.577803	1.958187E+0	21/09/2022  14:32:34.577805	2.303377E-1
21/09/2022  14:32:34.577807	1.946108E+0	21/09/2022  14:32:34.577809	2.277608E-1
21/09/2022  14:32:34.577811	1.935639E+0	21/09/2022  14:32:34.577813	2.255059E-1
21/09/2022  14:32:34.577815	1.920660E+0	21/09/2022  14:32:34.577817	2.227679E-1
21/09/2022  14:32:34.577819	1.911480E+0	21/09/2022  14:32:34.577821	2.201910E-1
21/09/2022  14:32:34.577823	1.898595E+0	21/09/2022  14:32:34.577825	2.179361E-1
21/09/2022  14:32:34.577827	1.885227E+0	21/09/2022  14:32:34.577829	2.155202E-1
21/09/2022  14:32:34.577831	1.871698E+0	21/09/2022  14:32:34.577833	2.132654E-1
21/09/2022  14:32:34.577835	1.860424E+0	21/09/2022  14:32:34.577837	2.110106E-1
21/09/2022  14:32:34.577839	1.846894E+0	21/09/2022  14:32:34.577841	2.087557E-1
21/09/2022  14:32:34.577843	1.836426E+0	21/09/2022  14:32:34.577845	2.063398E-1
21/09/2022  14:32:34.577847	1.821286E+0	21/09/2022  14:32:34.577849	2.040850E-1
21/09/2022  14:32:34.577851	1.810173E+0	21/09/2022  14:32:34.577853	2.016691E-1
21/09/2022  14:32:34.577855	1.793906E+0	21/09/2022  14:32:34.577857	1.994143E-1
21/09/2022  14:32:34.577859	1.784564E+0	21/09/2022  14:32:34.577861	1.968373E-1
21/09/2022  14:32:34.577863	1.774417E+0	21/09/2022  14:32:34.577865	1.945825E-1
21/09/2022  14:32:34.577867	1.759922E+0	21/09/2022  14:32:34.577869	1.921666E-1
21/09/2022  14:32:34.577871	1.748326E+0	21/09/2022  14:32:34.577873	1.900728E-1
21/09/2022  14:32:34.577875	1.734474E+0	21/09/2022  14:32:34.577877	1.881401E-1
21/09/2022  14:32:34.577879	1.721912E+0	21/09/2022  14:32:34.577881	1.854021E-1
